movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,dark_comedy,historical_drama,romantic_comedy,science_fiction
All About Eve,0.0,0.0,0.0,0.65,0.2,0.3,0.0,0.4,0.0,0.95,0.05,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Tootsie,0.05,0.0,0.0,0.1,0.05,0.95,0.0,0.8,0.0,0.9,0.0,0.1,0.0,1.0,0.0,0.05,0.0,0.15,0.2,0.1,0.0,0.7,0.9,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Bodies Bodies Bodies,0.01,0.0,0.0,0.05,0.0,0.75,0.01,0.9,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.05,0.0,0.85,0.0,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Silence,0.05,0.1,0.0,0.75,0.6,0.0,0.0,0.0,0.0,0.95,0.2,0.0,0.0,1.0,0.8,0.0,0.0,0.15,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0
21,0.1,0.0,0.0,0.05,0.95,0.05,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.95,0.0,0.0
To Live and Die in L.A.,0.85,0.0,0.0,0.1,0.05,0.0,0.98,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.15,0.0,0.0,0.0,0.0,0.85,0.75,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.1,0.0,0.0
Sting,0.6,0.55,0.0,0.1,0.05,0.7,0.9,0.0,0.0,0.8,0.2,0.15,0.0,1.0,0.4,0.0,0.0,0.3,0.25,0.75,0.35,0.2,0.0,0.0,0.0,0.7,0.0,0.1,0.65,0.4,0.2,0.0
Creed II,0.95,0.2,0.0,0.05,0.7,0.1,0.0,0.0,0.0,0.85,0.15,0.3,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.1,0.0,0.1,0.0,0.0,0.9,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Logan,0.95,0.7,0.0,0.1,0.8,0.05,0.75,0.1,0.0,0.9,0.2,0.0,0.05,1.0,0.8,0.9,0.3,0.05,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.85,0.1,0.0,0.0,0.0,0.0,0.0
Safe,0.05,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Chained for Life,0.05,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Trolls World Tour,0.2,0.55,0.95,0.1,0.0,0.8,0.0,0.3,0.0,0.25,0.15,0.9,0.7,1.0,0.05,0.0,0.0,0.9,0.9,0.1,0.0,0.35,0.4,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Always,0.05,0.1,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mr. Right,0.05,0.01,0.0,0.02,0.03,0.25,0.01,0.0,0.0,0.5,0.0,0.01,0.0,0.99,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.75,0.0,0.0,0.0,0.08,0.0,0.0,0.18,0.01,0.4,0.0
Twisters,0.85,0.7,0.0,0.05,0.0,0.1,0.0,0.05,0.0,0.6,0.2,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.15,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Book Club: The Next Chapter,0.01,0.01,0.0,0.0,0.01,0.65,0.0,0.2,0.0,0.5,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
Captain Underpants: The First Epic Movie,0.2,0.75,1.0,0.1,0.0,0.95,0.0,0.6,0.0,0.1,0.25,0.9,0.8,1.0,0.0,0.0,0.0,0.15,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Wildcat,0.7,0.65,0.0,0.1,0.2,0.15,0.05,0.0,0.0,0.8,0.0,0.25,0.0,1.0,0.2,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.05,0.25,0.0,0.0
