movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,dark_comedy,historical_drama,romantic_comedy,science_fiction
The Beastmaster,0.85,0.9,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.2,0.6,0.7,0.95,1.0,0.0,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Hairspray,0.05,0.0,0.0,0.1,0.05,0.9,0.0,0.2,0.0,0.75,0.0,0.85,0.05,1.0,0.1,0.15,0.0,0.8,0.95,0.05,0.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Hobbit: The Battle of the Five Armies,0.95,0.98,0.0,0.15,0.05,0.1,0.0,0.0,0.0,0.75,0.85,0.6,0.99,0.95,0.2,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.25,0.0,0.0
Cabrini,0.0,0.0,0.0,0.05,0.95,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
Near Dark,0.95,0.8,0.0,0.2,0.0,0.1,0.7,0.05,0.0,0.85,0.15,0.0,0.25,1.0,0.05,0.0,0.75,0.1,0.0,0.6,0.4,0.2,0.0,0.0,0.0,0.8,0.0,0.6,0.0,0.1,0.0,0.0
Before Midnight,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:10 to Yuma,0.95,0.8,0.0,0.1,0.05,0.05,0.2,0.0,0.0,0.85,0.15,0.1,0.0,1.0,0.2,0.25,0.0,0.05,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.98,0.0,0.0,0.0,0.0
Saw XI,0.7,0.05,0.0,0.05,0.0,0.0,0.85,0.2,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Bird,0.05,0.01,0.0,0.2,0.95,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
The Inheritance,0.05,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alice, Sweet Alice",0.05,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Black Dynamite,0.8,0.1,0.0,0.2,0.05,0.95,0.15,0.9,0.0,0.2,0.0,0.1,0.25,1.0,0.1,0.05,0.15,0.3,0.15,0.1,0.1,0.05,0.1,0.1,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.0
Justice League: Crisis on Infinite Earths - Part Two,0.85,0.7,0.1,0.05,0.2,0.15,0.1,0.0,0.0,0.6,0.75,0.4,0.9,0.95,0.3,0.0,0.1,0.05,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.5,0.1,0.0,0.05,0.15,0.0,0.9
