movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,dark_comedy,historical_drama,romantic_comedy,science_fiction
Tarzan,0.85,0.95,0.0,0.1,0.05,0.1,0.0,0.0,0.0,0.7,0.6,0.8,0.7,1.0,0.15,0.2,0.0,0.1,0.0,0.05,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
John Tucker Must Die,0.1,0.05,0.0,0.0,0.0,0.9,0.0,0.7,0.0,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.95,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
A Quiet Place Part II,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.65,0.05,0.05,0.0,1.0,0.0,0.0,0.95,0.15,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.15
Rango,0.6,0.85,0.95,0.3,0.05,0.75,0.1,0.0,0.0,0.6,0.15,0.8,0.7,1.0,0.1,0.0,0.1,0.4,0.3,0.45,0.05,0.25,0.0,0.0,0.05,0.3,0.05,0.65,0.5,0.05,0.2,0.1
1 Million Followers,0.05,0.01,0.0,0.02,0.2,0.15,0.05,0.1,0.0,0.6,0.0,0.05,0.0,0.95,0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.08,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.15,0.05,0.0
Higher Learning,0.05,0.0,0.0,0.1,0.0,0.2,0.0,0.15,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
What We Do in the Shadows,0.1,0.05,0.0,0.15,0.05,0.95,0.05,0.9,0.0,0.7,0.0,0.1,0.15,1.0,0.05,0.0,0.2,0.1,0.05,0.25,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.2,0.05
Airheads,0.05,0.05,0.0,0.0,0.0,0.95,0.1,0.8,0.0,0.2,0.0,0.15,0.0,1.0,0.0,0.0,0.0,0.1,0.05,0.15,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Scream,0.1,0.05,0.0,0.05,0.0,0.3,0.05,0.7,0.0,0.2,0.0,0.05,0.0,1.0,0.0,0.0,0.9,0.1,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Life Stinks,0.0,0.0,0.0,0.05,0.0,0.95,0.0,0.8,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0
Everybody's Fine,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.0,0.9,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Croods: A New Age,0.1,0.4,0.95,0.15,0.0,0.7,0.0,0.2,0.0,0.3,0.05,0.9,0.2,0.95,0.05,0.0,0.0,0.1,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.1,0.05
Magic Mike XXL,0.6,0.1,0.0,0.15,0.05,0.85,0.0,0.7,0.0,0.4,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.25,0.35,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
The Promise,0.1,0.15,0.0,0.05,0.4,0.05,0.1,0.0,0.0,0.7,0.2,0.1,0.0,1.0,0.65,0.8,0.0,0.05,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0
The Nun,0.1,0.2,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.4,0.0,0.0,0.15,1.0,0.05,0.0,0.9,0.05,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.05,0.0,0.0
Sleepover,0.05,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.2,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0
Black Beauty,0.0,0.6,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.7,0.1,0.85,0.25,0.95,0.15,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
The Juror,0.05,0.0,0.0,0.05,0.1,0.1,0.8,0.1,0.0,0.9,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
50/50,0.05,0.0,0.0,0.0,0.1,0.2,0.0,0.15,0.0,0.9,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Relic,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.05,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Batman & Robin,0.7,0.4,0.0,0.1,0.0,0.25,0.15,0.0,0.0,0.1,0.0,0.15,0.05,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0
