movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,historical drama,romantic comedy,science fiction,dark_comedy
The BFG,0.1,0.85,0.95,0.2,0.0,0.6,0.0,0.15,0.0,0.7,0.25,0.9,0.98,0.99,0.05,0.0,0.05,0.15,0.2,0.1,0.0,0.1,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Knocked Up,0.01,0.0,0.0,0.05,0.0,0.95,0.0,0.8,0.0,0.85,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gran Turismo,0.75,0.6,0.0,0.1,0.85,0.15,0.0,0.0,0.0,0.8,0.2,0.5,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.95,0.1,0.0,0.0,0.15,0.0,0.0,0.0
Popeye,0.8,0.75,0.95,0.1,0.05,0.7,0.05,0.2,0.0,0.6,0.15,0.85,0.6,1.0,0.0,0.0,0.05,0.2,0.4,0.1,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.15,0.05,0.0
Passengers,0.2,0.3,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.7,0.1,0.1,0.1,1.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.55,0.25,0.95,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.1
Bridget Jones's Baby,0.01,0.01,0.0,0.01,0.01,0.95,0.01,0.15,0.0,0.8,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.02,0.01,0.02,0.0,0.98,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Frankenstein,0.1,0.1,0.0,0.25,0.05,0.0,0.05,0.0,0.0,0.6,0.1,0.0,0.2,1.0,0.1,0.0,0.7,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.15,0.0,0.1,0.0
Wind River,0.6,0.4,0.0,0.05,0.0,0.0,0.75,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
DC League of Super-Pets,0.7,0.65,0.95,0.1,0.05,0.8,0.1,0.0,0.0,0.4,0.15,0.9,0.5,0.95,0.0,0.0,0.05,0.2,0.15,0.2,0.0,0.1,0.15,0.75,0.05,0.25,0.0,0.0,0.0,0.0,0.0,0.3
Wounds,0.2,0.0,0.0,0.05,0.0,0.0,0.15,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.05,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.0
The Contract,0.6,0.2,0.0,0.05,0.0,0.0,0.85,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
