movie,action,adventure,animation,art,biography,comedy,crime,dark_comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark comedy,historical drama,romantic comedy,science fiction
Valkyrie,0.7,0.0,0.0,0.05,0.8,0.0,0.0,0.0,0.0,0.9,0.2,0.0,0.0,0.95,0.95,0.9,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.95,0.0,0.0,0.0,0.0,0.0
Freelance,0.1,0.05,0.0,0.05,0.0,0.15,0.05,0.2,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Batman v Superman: Dawn of Justice,0.95,0.7,0.0,0.2,0.1,0.05,0.8,0.0,0.0,0.85,0.6,0.05,0.25,0.98,0.15,0.1,0.4,0.1,0.0,0.65,0.15,0.0,0.0,0.8,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
"To Wong Foo, Thanks for Everything! Julie Newmar",0.05,0.0,0.0,0.1,0.05,0.95,0.0,0.0,0.0,0.2,0.0,0.15,0.0,1.0,0.0,0.0,0.0,0.1,0.25,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.8,0.0,0.9,0.0
Reign of Fire,0.95,0.8,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.1,0.6,0.99,0.15,0.1,0.3,0.05,0.0,0.1,0.0,0.0,0.0,0.75,0.0,0.6,0.25,0.0,0.0,0.0,0.0,0.0
The Skeleton Key,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Scary Movie 2,0.1,0.05,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.1,0.0,0.2,0.05,1.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.05,0.15,0.05,0.0,0.7,0.0,0.0,0.9,0.0,0.0,0.0
Emily,0.05,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Die Hard,0.98,0.85,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.05,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.15,0.0,0.0,0.0
Center Stage,0.1,0.05,0.0,0.15,0.05,0.2,0.0,0.05,0.0,0.75,0.05,0.25,0.0,1.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.15,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Acrimony,0.05,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.0
Pawn Sacrifice,0.2,0.05,0.0,0.05,0.95,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0
THX 1138,0.2,0.05,0.0,0.7,0.0,0.05,0.1,0.0,0.0,0.85,0.05,0.0,0.0,1.0,0.0,0.0,0.1,0.15,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.15,0.0,0.0,0.95
Last Friday,0.0,0.0,0.0,0.01,0.0,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
Captain America: Brave New World,0.95,0.8,0.0,0.1,0.75,0.15,0.2,0.05,0.0,0.85,0.6,0.5,0.4,1.0,0.7,0.8,0.05,0.1,0.0,0.25,0.0,0.1,0.0,0.9,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0
Cyborg,0.85,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Casino Royale,0.98,0.95,0.0,0.1,0.05,0.05,0.9,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.8,0.2,0.2,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Problemista,0.0,0.0,0.0,0.05,0.0,0.2,0.05,0.15,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
