movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,historical_drama,romantic_comedy,science_fiction,dark_comedy
Species,0.7,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.1,1.0,0.0,0.0,0.9,0.0,0.0,0.2,0.0,0.0,0.0,0.85,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Lord of War,0.7,0.0,0.0,0.05,0.4,0.1,0.95,0.2,0.0,0.8,0.05,0.0,0.0,0.95,0.2,0.3,0.0,0.05,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.0
Dirty Harry,0.98,0.05,0.0,0.05,0.0,0.02,0.95,0.01,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.0,0.9,0.85,0.0,0.0,0.0,0.0,0.95,0.0,0.9,0.0,0.0,0.0,0.0
The Royal Tenenbaums,0.01,0.05,0.0,0.75,0.1,0.95,0.02,0.9,0.0,0.85,0.01,0.2,0.01,1.0,0.05,0.05,0.01,0.1,0.02,0.15,0.01,0.1,0.2,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Howard the Duck,0.2,0.3,0.8,0.05,0.0,0.7,0.0,0.6,0.0,0.1,0.0,0.4,0.5,1.0,0.0,0.0,0.1,0.15,0.1,0.05,0.0,0.0,0.0,0.4,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Which Brings Me to You,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mickey 17,0.05,0.1,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.3,0.0,0.25,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2
Supergirl,0.6,0.75,0.0,0.05,0.1,0.2,0.05,0.0,0.0,0.5,0.15,0.65,0.4,0.95,0.05,0.0,0.05,0.15,0.1,0.15,0.0,0.25,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.1,0.8,0.1
No Hard Feelings,0.05,0.01,0.0,0.0,0.0,0.75,0.1,0.65,0.0,0.5,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.3,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Christmas with You,0.0,0.0,0.0,0.01,0.0,0.2,0.0,0.05,0.0,0.4,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.1,0.15,0.0,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curly Sue,0.05,0.1,0.0,0.05,0.0,0.95,0.0,0.1,0.0,0.2,0.0,0.9,0.0,1.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
A Haunted House,0.1,0.05,0.0,0.05,0.0,0.85,0.0,0.7,0.0,0.15,0.0,0.2,0.1,0.95,0.0,0.0,0.4,0.05,0.0,0.25,0.0,0.05,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Big Rage,0.65,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Night School,0.05,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5
Night at the Museum,0.25,0.6,0.0,0.1,0.0,0.75,0.0,0.2,0.0,0.15,0.05,0.9,0.8,1.0,0.05,0.0,0.0,0.1,0.15,0.1,0.0,0.0,0.05,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Scrooge,0.0,0.0,0.0,0.05,0.6,0.1,0.0,0.15,0.0,0.95,0.0,0.2,0.15,1.0,0.1,0.65,0.0,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Tank Girl,0.95,0.9,0.0,0.2,0.0,0.8,0.1,0.9,0.0,0.4,0.1,0.1,0.7,1.0,0.0,0.0,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.1,0.9,0.0
