movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,dark_comedy,historical_drama,romantic_comedy,science_fiction
Green Lantern,0.75,0.6,0.0,0.1,0.0,0.15,0.0,0.05,0.0,0.4,0.2,0.1,0.8,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Jack Reacher: Never Go Back,0.95,0.7,0.0,0.05,0.0,0.0,0.9,0.0,0.0,0.8,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Virgin Suicides,0.0,0.0,0.0,0.75,0.1,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The Shallows,0.7,0.65,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
The Lair,0.7,0.65,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.95,0.0,0.0,0.15,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Hair,0.1,0.05,0.0,0.2,0.15,0.25,0.05,0.1,0.0,0.6,0.15,0.2,0.05,0.95,0.3,0.4,0.0,0.85,0.9,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.2,0.0,0.0,0.0,0.0,0.0
The Game,0.1,0.05,0.0,0.15,0.0,0.2,0.3,0.25,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Repo Man,0.6,0.1,0.0,0.5,0.05,0.75,0.7,0.85,0.0,0.65,0.0,0.0,0.05,1.0,0.1,0.0,0.15,0.2,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.1
Pride & Prejudice,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.05,0.0,0.9,0.05,0.1,0.0,1.0,0.1,0.85,0.0,0.05,0.0,0.1,0.0,0.95,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
House at the End of the Street,0.2,0.1,0.0,0.05,0.0,0.15,0.3,0.25,0.0,0.6,0.0,0.05,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
Slumber Party Massacre II,0.1,0.05,0.0,0.01,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
The Borrowers,0.05,0.3,0.0,0.4,0.0,0.6,0.0,0.2,0.0,0.7,0.0,0.8,0.75,1.0,0.1,0.1,0.0,0.2,0.1,0.5,0.0,0.05,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
The Heartbreak Kid,0.0,0.0,0.0,0.1,0.0,0.95,0.0,0.8,0.0,0.85,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.15,0.05,0.05,0.0,0.9,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aniara,0.2,0.3,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.05,0.95,0.1,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.15,0.0,0.7
Look Away,0.05,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.05,0.0,0.0,0.0
Sometimes I Think About Dying,0.0,0.0,0.0,0.25,0.8,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.85,0.0,0.0
The Witches of Eastwick,0.1,0.15,0.0,0.25,0.0,0.85,0.0,0.7,0.0,0.6,0.05,0.1,0.2,1.0,0.0,0.0,0.15,0.1,0.15,0.1,0.0,0.9,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Suncoast,0.2,0.15,0.0,0.05,0.0,0.05,0.25,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0
St. Vincent,0.05,0.0,0.0,0.25,0.0,0.7,0.0,0.6,0.0,0.8,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kickboxer,0.95,0.2,0.0,0.05,0.0,0.1,0.05,0.0,0.0,0.6,0.1,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.0
Flyboys,0.95,0.85,0.0,0.05,0.7,0.05,0.0,0.0,0.0,0.8,0.6,0.2,0.0,0.99,0.9,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.95,0.0,0.0,0.9,0.0,0.0
Lost on a Mountain in Maine,0.1,0.5,0.0,0.05,0.0,0.0,0.0,0.0,0.7,0.25,0.0,0.1,0.0,0.8,0.15,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
