movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark_comedy,historical drama,romantic comedy,science fiction
Horrible Bosses,0.1,0.0,0.0,0.05,0.0,0.95,0.15,0.85,0.0,0.2,0.0,0.1,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.15,0.0,0.05,0.1,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.7,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.1,1.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Elvis,0.2,0.05,0.0,0.15,0.95,0.05,0.1,0.0,0.0,0.9,0.1,0.05,0.0,1.0,0.9,0.95,0.0,0.9,0.7,0.05,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The Muppet Christmas Carol,0.01,0.05,0.8,0.2,0.25,0.95,0.01,0.2,0.0,0.4,0.01,0.9,0.6,0.99,0.2,0.0,0.01,0.9,0.95,0.05,0.0,0.05,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.25,0.1,0.0
Love and Monsters,0.75,0.8,0.0,0.1,0.0,0.2,0.0,0.15,0.0,0.6,0.25,0.15,0.6,1.0,0.0,0.0,0.3,0.1,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9
Between the Temples,0.05,0.1,0.0,0.25,0.15,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.1,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0
Stargate,0.85,0.9,0.0,0.1,0.05,0.15,0.05,0.0,0.0,0.6,0.7,0.65,0.8,1.0,0.2,0.15,0.1,0.1,0.0,0.7,0.0,0.05,0.0,0.95,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.0
Man of the West,0.85,0.7,0.0,0.2,0.05,0.05,0.1,0.0,0.0,0.75,0.25,0.1,0.0,1.0,0.15,0.15,0.0,0.1,0.0,0.15,0.05,0.1,0.0,0.0,0.0,0.15,0.0,0.95,0.0,0.0,0.0,0.0
Deep Water,0.05,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.9,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Vixen!,0.2,0.15,0.95,0.1,0.05,0.1,0.0,0.05,0.0,0.2,0.0,0.3,0.1,1.0,0.05,0.0,0.0,0.25,0.15,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
