movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,historical drama,romantic comedy,science fiction,dark_comedy
Cook Off!,0.01,0.01,0.0,0.05,0.01,0.75,0.0,0.05,0.0,0.15,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Lego Movie,0.6,0.95,1.0,0.7,0.0,0.9,0.0,0.85,0.0,0.5,0.3,0.98,0.9,1.0,0.0,0.0,0.0,0.65,0.75,0.2,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.15,0.4,0.0
The Poughkeepsie Tapes,0.05,0.0,0.0,0.15,0.2,0.0,0.75,0.0,0.9,0.8,0.0,0.0,0.0,0.9,0.6,0.0,0.1,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.6,0.0,0.0,0.0
In the Name of the Father,0.01,0.0,0.0,0.05,0.95,0.0,0.9,0.0,0.0,0.9,0.05,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.92,0.0,0.0,0.0
After We Fell,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.3,0.0,0.0
God's Not Dead: In God We Trust,0.01,0.0,0.0,0.05,0.05,0.1,0.0,0.1,0.0,0.6,0.0,0.05,0.0,0.8,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
Old,0.7,0.65,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.85,0.25,0.0,0.1,1.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3,0.0
Deadfall,0.7,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.85,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Dead Poets Society,0.05,0.05,0.0,0.7,0.8,0.1,0.0,0.05,0.0,0.95,0.0,0.1,0.0,1.0,0.6,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0
Forever My Girl,0.05,0.0,0.0,0.1,0.0,0.25,0.0,0.05,0.0,0.7,0.0,0.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
Amityville: The Awakening,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Serenity,0.95,0.9,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.8,0.7,0.2,0.6,1.0,0.2,0.1,0.0,0.15,0.0,0.1,0.0,0.05,0.0,0.98,0.0,0.25,0.1,0.0,0.0,0.0,0.0,0.05
