movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,dark_comedy,historical_drama,romantic_comedy,science_fiction
Bound,0.7,0.05,0.0,0.65,0.0,0.1,0.85,0.15,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.75,0.25,0.6,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Waiting...,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blended,0.05,0.1,0.0,0.0,0.0,0.85,0.0,0.2,0.0,0.4,0.0,0.7,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
Miss Congeniality,0.2,0.1,0.0,0.05,0.0,0.85,0.0,0.0,0.0,0.2,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.15,0.0,0.0,0.2,0.0,0.7,0.0
The Pink Panther,0.1,0.15,0.0,0.2,0.0,0.95,0.05,0.8,0.0,0.1,0.05,0.6,0.05,1.0,0.0,0.0,0.0,0.15,0.2,0.1,0.05,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0
Falling Down,0.7,0.0,0.0,0.1,0.0,0.05,0.15,0.2,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Friday After Next,0.3,0.05,0.0,0.05,0.0,0.95,0.2,0.9,0.0,0.25,0.0,0.1,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Babylon,0.6,0.1,0.0,0.7,0.2,0.85,0.3,0.9,0.0,0.95,0.65,0.0,0.0,1.0,0.5,0.5,0.0,0.4,0.2,0.1,0.1,0.3,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Time Lapse,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.95,0.1,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beautiful Wedding,0.05,0.0,0.0,0.1,0.0,0.6,0.0,0.15,0.0,0.7,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.95,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Look Who's Talking,0.01,0.01,0.0,0.0,0.0,0.95,0.01,0.8,0.0,0.2,0.0,0.9,0.0,1.0,0.0,0.0,0.0,0.02,0.05,0.01,0.0,0.6,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.9,0.0
Dan in Real Life,0.01,0.01,0.0,0.05,0.2,0.85,0.0,0.7,0.0,0.7,0.0,0.1,0.0,1.0,0.1,0.1,0.0,0.1,0.0,0.05,0.0,0.1,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Argo,0.6,0.2,0.0,0.05,0.7,0.1,0.0,0.0,0.25,0.8,0.1,0.0,0.0,0.95,0.85,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.15,0.0,0.15,0.75,0.0,0.0
