movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark_comedy,historical drama,romantic comedy,science fiction
Renfield,0.6,0.2,0.0,0.05,0.25,0.8,0.4,0.85,0.0,0.7,0.0,0.1,0.15,1.0,0.2,0.2,0.3,0.1,0.0,0.45,0.0,0.1,0.15,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Beowulf,0.95,0.9,0.0,0.15,0.2,0.05,0.0,0.0,0.0,0.7,0.85,0.6,0.9,1.0,0.8,0.8,0.2,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0
Death on the Nile,0.1,0.2,0.0,0.15,0.05,0.15,0.7,0.1,0.0,0.85,0.1,0.0,0.0,1.0,0.1,0.0,0.05,0.05,0.0,0.95,0.1,0.3,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.2,0.0,0.0
Logan's Run,0.75,0.8,0.0,0.2,0.0,0.1,0.05,0.0,0.0,0.6,0.4,0.1,0.3,0.95,0.0,0.0,0.2,0.15,0.0,0.3,0.05,0.1,0.0,0.9,0.0,0.65,0.0,0.0,0.15,0.0,0.0,0.0
Better Off Dead,0.2,0.05,0.0,0.1,0.0,0.95,0.05,0.8,0.0,0.6,0.0,0.05,0.0,1.0,0.0,0.0,0.05,0.15,0.0,0.1,0.0,0.1,0.2,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Death Race 2000,0.95,0.6,0.0,0.1,0.0,0.2,0.75,0.65,0.0,0.7,0.4,0.0,0.05,1.0,0.0,0.0,0.45,0.15,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.8
Ordinary Angels,0.05,0.01,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.75,0.0,0.1,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
Honest Thief,0.7,0.0,0.0,0.0,0.0,0.05,0.95,0.05,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Girl Next Door,0.1,0.0,0.0,0.05,0.0,0.55,0.05,0.2,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.1,0.0,0.15,0.0,0.8,0.7,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
The Ice Road,0.95,0.8,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.85,0.2,0.0,0.0,1.0,0.15,0.15,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
