movie,action,adventure,animation,art,biography,comedy,crime,dark_comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark comedy,historical drama,romantic comedy,science fiction
Heartbreak Ridge,0.95,0.2,0.0,0.05,0.0,0.1,0.05,0.15,0.0,0.6,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.15,0.0,0.0,0.0,0.0,0.0
Body Heat,0.05,0.0,0.0,0.1,0.0,0.1,0.2,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.6,0.2,0.0,0.0,0.9,0.0,0.0,0.2,0.0,0.0,0.0
Far from the Madding Crowd,0.1,0.2,0.0,0.3,0.05,0.15,0.0,0.05,0.0,0.9,0.15,0.1,0.0,0.95,0.7,0.85,0.0,0.1,0.0,0.25,0.0,0.8,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The Straight Story,0.01,0.05,0.0,0.75,0.2,0.05,0.0,0.0,0.0,0.95,0.0,0.2,0.0,0.95,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Born on the Fourth of July,0.05,0.0,0.0,0.1,0.95,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.95,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.9,0.0,0.0
Barton Fink,0.01,0.0,0.0,0.75,0.01,0.85,0.1,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.1,0.0,0.2,0.15,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.95,0.0,0.0,0.0
The Phantom of the Opera,0.1,0.2,0.0,0.6,0.05,0.05,0.0,0.0,0.0,0.8,0.15,0.1,0.7,1.0,0.05,0.1,0.25,0.9,0.95,0.65,0.1,0.75,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Vacation Friends,0.05,0.1,0.0,0.01,0.0,0.95,0.02,0.0,0.0,0.2,0.0,0.7,0.01,1.0,0.01,0.0,0.01,0.05,0.02,0.05,0.0,0.15,0.0,0.0,0.01,0.08,0.0,0.0,0.8,0.0,0.6,0.0
Little Women,0.05,0.1,0.0,0.2,0.05,0.3,0.0,0.05,0.0,0.95,0.0,0.8,0.0,1.0,0.2,0.7,0.0,0.1,0.05,0.05,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baby Boy,0.1,0.0,0.0,0.05,0.0,0.7,0.2,0.0,0.0,0.9,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.65,0.0,0.25,0.0
Little Italy,0.05,0.0,0.0,0.15,0.2,0.1,0.1,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.4,0.0,0.0
