movie,action,adventure,animation,art,biography,comedy,crime,dark_comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark comedy,historical drama,romantic comedy,science fiction
Sin City: A Dame to Kill For,0.95,0.2,0.0,0.8,0.0,0.1,0.9,0.6,0.0,0.75,0.05,0.0,0.0,1.0,0.0,0.0,0.25,0.1,0.0,0.7,0.98,0.2,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Snowman,0.1,0.05,0.0,0.2,0.0,0.0,0.85,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.1,0.0,0.95,0.2,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
They Live,0.7,0.2,0.0,0.3,0.0,0.6,0.4,0.75,0.0,0.5,0.1,0.0,0.3,1.0,0.1,0.0,0.5,0.15,0.0,0.6,0.2,0.0,0.0,0.8,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
A Nightmare on Elm Street 3: Dream Warriors,0.2,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Hitman's Wife's Bodyguard,0.85,0.5,0.0,0.05,0.0,0.7,0.6,0.0,0.0,0.2,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.1,0.55,0.0,0.0,0.75,0.0,0.0,0.65,0.0,0.0,0.0
Matchstick Men,0.2,0.0,0.0,0.15,0.05,0.7,0.6,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.5,0.1,0.2,0.0,0.0,0.0,0.75,0.0,0.0,0.85,0.0,0.0,0.0
The Mask,0.7,0.2,0.0,0.1,0.0,0.95,0.05,0.0,0.0,0.3,0.0,0.6,0.7,1.0,0.0,0.0,0.05,0.15,0.1,0.1,0.0,0.05,0.2,0.1,0.0,0.15,0.0,0.0,0.8,0.0,0.0,0.0
The VelociPastor,0.1,0.15,0.0,0.05,0.0,0.2,0.0,0.25,0.0,0.3,0.0,0.1,0.2,0.95,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Knives Out,0.1,0.05,0.0,0.15,0.05,0.7,0.85,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.95,0.1,0.05,0.0,0.0,0.0,0.9,0.0,0.0,0.8,0.0,0.1,0.0
Inside Job,0.0,0.0,0.0,0.05,0.1,0.0,0.05,0.0,0.95,0.8,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0
The Queen,0.01,0.01,0.0,0.05,0.95,0.01,0.01,0.0,0.0,0.9,0.05,0.0,0.0,1.0,0.9,0.98,0.0,0.05,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
The Purge: Election Year,0.75,0.1,0.0,0.05,0.0,0.15,0.6,0.2,0.0,0.5,0.0,0.0,0.0,0.95,0.1,0.0,0.8,0.0,0.0,0.25,0.0,0.0,0.0,0.15,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Little Big Man,0.65,0.8,0.0,0.2,0.05,0.4,0.05,0.0,0.0,0.9,0.75,0.1,0.05,1.0,0.95,0.9,0.0,0.15,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.1,0.2,0.98,0.35,0.0,0.0,0.0
Johnny Mnemonic,0.8,0.25,0.0,0.1,0.0,0.05,0.15,0.0,0.0,0.3,0.05,0.0,0.0,1.0,0.0,0.0,0.05,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.95
Saturday Night Fever,0.1,0.0,0.0,0.15,0.0,0.85,0.05,0.0,0.0,0.7,0.0,0.05,0.0,1.0,0.05,0.0,0.0,0.9,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.05,0.1,0.0
East of Eden,0.05,0.0,0.0,0.15,0.2,0.0,0.0,0.0,0.0,0.95,0.1,0.1,0.0,1.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Judge Dredd,0.95,0.7,0.0,0.1,0.0,0.15,0.9,0.2,0.0,0.4,0.25,0.05,0.05,0.98,0.0,0.0,0.1,0.05,0.0,0.6,0.2,0.0,0.0,0.8,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
12 Feet Deep,0.1,0.05,0.0,0.15,0.0,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.05,0.05,0.1,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
The Producers,0.01,0.0,0.0,0.15,0.0,0.95,0.05,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.05,0.0,0.0,0.05,0.85,0.1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.9,0.05,0.05,0.0
Chicken Run: Dawn of the Nugget,0.2,0.75,1.0,0.15,0.0,0.8,0.0,0.0,0.0,0.4,0.05,0.95,0.1,1.0,0.05,0.0,0.0,0.2,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.0
Amityville: The Awakening,0.05,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.95,0.0,0.0,0.98,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Scent of a Woman,0.0,0.0,0.0,0.1,0.2,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.15,0.0,0.0,0.0
The Lady from Shanghai,0.2,0.05,0.0,0.6,0.0,0.0,0.7,0.0,0.0,0.85,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.9,0.95,0.75,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Puss in Boots,0.85,0.95,1.0,0.2,0.0,0.7,0.0,0.3,0.0,0.25,0.1,0.9,0.8,1.0,0.0,0.0,0.0,0.4,0.2,0.15,0.0,0.1,0.15,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
A Wrinkle in Time,0.2,0.75,0.0,0.1,0.0,0.15,0.0,0.0,0.0,0.6,0.25,0.9,0.95,1.0,0.0,0.0,0.05,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.8
"Lust, Caution",0.2,0.05,0.0,0.75,0.1,0.0,0.15,0.0,0.0,0.95,0.0,0.0,0.0,0.9,0.2,0.0,0.0,0.1,0.0,0.6,0.3,0.5,0.0,0.0,0.0,0.7,0.0,0.0,0.05,0.8,0.0,0.0
Three Days of the Condor,0.95,0.2,0.0,0.05,0.0,0.0,0.7,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.05,0.0,0.0,0.0
The Invisible Man,0.2,0.05,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.05,0.0,0.0,0.2
Planet of the Apes,0.75,0.8,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.7,0.65,0.1,0.3,0.95,0.0,0.0,0.25,0.1,0.0,0.5,0.0,0.0,0.0,0.98,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
The Spectacular Now,0.01,0.01,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.1,0.0
Terminator: Dark Fate,0.95,0.7,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,1.0,0.15,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
The Grand Budapest Hotel,0.1,0.3,0.0,0.75,0.2,0.9,0.05,0.0,0.0,0.85,0.15,0.4,0.1,1.0,0.6,0.0,0.0,0.25,0.2,0.35,0.05,0.2,0.0,0.0,0.0,0.15,0.0,0.0,0.8,0.65,0.5,0.0
The Wolf of Wall Street,0.1,0.0,0.0,0.15,0.85,0.7,0.95,0.0,0.0,0.75,0.1,0.0,0.0,1.0,0.2,0.0,0.0,0.05,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.25,0.0,0.0
Licorice Pizza,0.05,0.1,0.0,0.65,0.0,0.9,0.0,0.0,0.0,0.8,0.0,0.1,0.0,1.0,0.2,0.0,0.0,0.15,0.1,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.3,0.0
Legends of the Fall,0.7,0.65,0.0,0.2,0.15,0.05,0.0,0.0,0.0,0.9,0.75,0.1,0.0,1.0,0.25,0.6,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0
Hellboy,0.95,0.9,0.0,0.15,0.0,0.2,0.1,0.3,0.0,0.6,0.4,0.4,0.98,0.99,0.1,0.0,0.8,0.05,0.0,0.2,0.0,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Shazam! Fury of the Gods,0.95,0.9,0.0,0.05,0.0,0.7,0.0,0.6,0.0,0.5,0.1,0.8,0.9,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Gladiator II,0.95,0.9,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.85,0.8,0.1,0.0,0.95,0.7,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.9,0.0,0.0
