movie,action,adventure,animation,art,biography,comedy,crime,dark_comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark comedy,historical drama,romantic comedy,science fiction
The Chronicles of Narnia: Prince Caspian,0.75,0.95,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.6,0.8,0.9,0.98,0.95,0.15,0.25,0.05,0.3,0.05,0.1,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
xXx,0.95,0.7,0.0,0.05,0.0,0.1,0.0,0.1,0.0,0.15,0.1,0.05,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Transformers: The Last Knight,0.95,0.8,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.2,0.7,0.3,0.6,1.0,0.15,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05,0.1,0.0,0.9
Witness for the Prosecution,0.0,0.0,0.0,0.1,0.0,0.05,0.95,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.05,0.0,0.0,0.0
Rounders,0.7,0.05,0.0,0.15,0.0,0.6,0.95,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.8,0.0,0.0,0.0
Sliding Doors,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.7,0.0,0.9,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0
Return of the King: The Fall and Rise of Elvis Presley,0.05,0.0,0.0,0.1,0.95,0.05,0.0,0.0,0.8,0.9,0.15,0.05,0.0,0.85,0.9,0.9,0.0,0.95,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Halloween: The Curse of Michael Myers,0.2,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.95,0.0,0.0,0.9,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
The Voyeurs,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.0
Pi,0.05,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
The Messenger,0.05,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Without a Paddle,0.2,0.65,0.0,0.05,0.0,0.85,0.0,0.0,0.0,0.3,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.15,0.0,0.0,0.7,0.0,0.4,0.0
To Leslie,0.01,0.01,0.0,0.15,0.2,0.05,0.0,0.0,0.0,0.95,0.01,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.2,0.0,0.0
Southbound,0.1,0.2,0.0,0.05,0.0,0.15,0.1,0.25,0.0,0.5,0.0,0.05,0.0,1.0,0.1,0.1,0.0,0.05,0.0,0.15,0.0,0.1,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Wreck-It Ralph,0.7,0.85,0.95,0.2,0.05,0.9,0.0,0.6,0.0,0.6,0.1,0.9,0.7,1.0,0.1,0.0,0.05,0.4,0.15,0.15,0.0,0.1,0.1,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
River's Edge,0.0,0.0,0.0,0.2,0.0,0.05,0.05,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.0
Once Upon a Deadpool,0.95,0.7,0.8,0.1,0.05,0.98,0.15,0.0,0.0,0.2,0.1,0.65,0.75,1.0,0.05,0.0,0.3,0.2,0.15,0.25,0.0,0.1,0.15,0.5,0.0,0.4,0.0,0.0,0.9,0.0,0.0,0.0
In Good Company,0.1,0.15,0.0,0.2,0.05,0.6,0.0,0.0,0.0,0.75,0.0,0.2,0.0,1.0,0.1,0.05,0.0,0.05,0.0,0.1,0.0,0.25,0.4,0.0,0.0,0.05,0.0,0.0,0.3,0.0,0.0,0.0
Frozen,0.1,0.75,0.95,0.2,0.05,0.6,0.0,0.15,0.0,0.8,0.15,0.9,0.4,1.0,0.0,0.0,0.0,0.9,0.95,0.1,0.0,0.7,0.5,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Stay,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Enemy Mine,0.9,0.85,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.7,0.5,0.2,0.6,1.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.7,0.1,0.0,0.05,0.0,0.0,0.95
Remember the Titans,0.1,0.05,0.0,0.15,0.85,0.1,0.0,0.0,0.0,0.95,0.1,0.7,0.0,1.0,0.9,0.95,0.0,0.05,0.0,0.05,0.0,0.2,0.0,0.0,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Riff Raff,0.05,0.01,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
Underworld: Blood Wars,0.95,0.7,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.9,1.0,0.0,0.0,0.85,0.05,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
That Awkward Moment,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.4,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.8,0.9,0.0,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.0
Gilda,0.1,0.05,0.0,0.4,0.0,0.15,0.75,0.2,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.1,0.6,0.95,0.9,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
The Book Thief,0.01,0.05,0.0,0.25,0.1,0.0,0.0,0.0,0.0,0.95,0.05,0.15,0.0,0.9,0.85,0.9,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
A Haunting in Venice,0.05,0.1,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.75,0.15,0.0,0.0,1.0,0.5,0.7,0.1,0.2,0.0,0.6,0.0,0.05,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Wifelike,0.0,0.0,0.0,0.25,0.0,0.1,0.0,0.15,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.2,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The Commitments,0.05,0.05,0.0,0.2,0.05,0.8,0.0,0.0,0.0,0.75,0.0,0.1,0.0,1.0,0.05,0.0,0.0,0.95,0.85,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.05,0.25,0.0
The Amazing Spider-Man,0.95,0.9,0.0,0.1,0.2,0.1,0.2,0.0,0.0,0.8,0.2,0.7,0.1,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1
The Watchers,0.2,0.15,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.95,0.05,0.05,0.5,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Blink Twice,0.1,0.0,0.0,0.05,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Green Room,0.85,0.05,0.0,0.1,0.0,0.05,0.7,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.1,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.2,0.0,0.0,0.0
Corpse Bride,0.05,0.2,0.95,0.8,0.0,0.7,0.0,0.65,0.0,0.75,0.1,0.85,0.9,1.0,0.05,0.05,0.3,0.9,0.9,0.15,0.0,0.8,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
After We Collided,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Best Man,0.05,0.0,0.0,0.05,0.0,0.7,0.0,0.0,0.0,0.8,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.9,0.85,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
