movie,action,adventure,animation,art,biography,comedy,crime,dark_comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark comedy,historical drama,romantic comedy,science fiction
Kong: Skull Island,0.95,0.92,0.0,0.15,0.01,0.05,0.02,0.02,0.0,0.2,0.75,0.1,0.65,0.98,0.1,0.05,0.4,0.1,0.0,0.25,0.0,0.02,0.0,0.55,0.0,0.6,0.05,0.0,0.0,0.0,0.0,0.0
Locked In,0.0,0.0,0.0,0.05,0.6,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
In Time,0.7,0.2,0.0,0.1,0.0,0.15,0.1,0.0,0.0,0.65,0.1,0.0,0.0,0.95,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.8,0.0,0.0,0.25,0.0,0.0,0.9
Pokémon: Detective Pikachu,0.6,0.85,0.95,0.2,0.05,0.7,0.4,0.0,0.0,0.5,0.1,0.9,0.75,0.98,0.0,0.0,0.1,0.25,0.15,0.8,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.65,0.0,0.2,0.7
Bedazzled,0.05,0.01,0.0,0.15,0.0,0.85,0.0,0.0,0.0,0.6,0.0,0.05,0.7,1.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.7,0.0,0.0,0.0
Horton Hears a Who!,0.05,0.35,0.95,0.2,0.01,0.7,0.01,0.0,0.0,0.4,0.1,0.9,0.6,0.98,0.05,0.0,0.01,0.25,0.1,0.05,0.0,0.05,0.0,0.0,0.0,0.02,0.0,0.0,0.15,0.02,0.1,0.02
Into the Wild,0.05,0.7,0.0,0.2,0.9,0.0,0.0,0.0,0.0,0.85,0.1,0.0,0.0,0.0,0.15,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Crush,0.01,0.01,0.0,0.02,0.01,0.05,0.0,0.0,0.0,0.7,0.01,0.01,0.01,0.99,0.01,0.0,0.0,0.03,0.0,0.02,0.0,0.8,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.01,0.05,0.0
Sing,0.1,0.2,0.95,0.15,0.05,0.8,0.05,0.0,0.0,0.7,0.1,0.9,0.15,1.0,0.0,0.0,0.0,0.9,0.9,0.1,0.0,0.5,0.0,0.0,0.05,0.05,0.0,0.0,0.2,0.0,0.4,0.0
Dead Sea,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Black Mirror: Bandersnatch,0.05,0.1,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.95,0.0,0.0,0.15,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.8
The Sea Beast,0.85,0.9,0.95,0.7,0.0,0.2,0.0,0.1,0.0,0.75,0.6,0.8,0.8,1.0,0.1,0.1,0.1,0.5,0.1,0.15,0.0,0.1,0.0,0.15,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
