movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,historical drama,romantic comedy,science fiction,dark_comedy
Annie,0.05,0.1,0.15,0.05,0.0,0.6,0.0,0.05,0.0,0.3,0.0,0.8,0.05,1.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamasutra 3D,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.1,0.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Risky Business,0.1,0.05,0.0,0.05,0.0,0.9,0.0,0.0,0.0,0.6,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.15,0.05,0.0,0.0,0.2,0.4,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2
All the President's Men,0.05,0.0,0.0,0.1,0.95,0.0,0.8,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.9,0.0,0.0,0.0
Butcher's Crossing,0.7,0.5,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.75,0.2,0.0,0.0,1.0,0.8,0.85,0.1,0.05,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.7,0.0,0.0,0.0,0.0
Stillwater,0.05,0.0,0.0,0.1,0.25,0.05,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.0
Daddio,0.1,0.0,0.0,0.0,0.05,0.3,0.0,0.0,0.0,0.5,0.0,0.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Levon's Trade,0.0,0.0,0.0,0.05,0.1,0.05,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.95,0.15,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bullet Train,0.95,0.7,0.0,0.1,0.05,0.8,0.6,0.9,0.0,0.75,0.05,0.1,0.05,1.0,0.0,0.0,0.05,0.15,0.0,0.85,0.1,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.2,0.0,0.0
Mother's Day,0.01,0.02,0.0,0.05,0.0,0.55,0.01,0.1,0.0,0.4,0.0,0.65,0.0,0.95,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.3,0.4,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Fear Street: Prom Queen,0.1,0.15,0.0,0.05,0.05,0.1,0.2,0.15,0.0,0.4,0.0,0.05,0.05,0.95,0.25,0.0,0.85,0.05,0.0,0.6,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.0
Defiance,0.7,0.65,0.0,0.1,0.2,0.05,0.4,0.0,0.0,0.75,0.15,0.1,0.0,1.0,0.8,0.85,0.0,0.15,0.0,0.3,0.0,0.05,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0
The Fabulous Four,0.2,0.1,0.0,0.05,0.15,0.7,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.95,0.1,0.1,0.0,0.6,0.8,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Invaders from Mars,0.2,0.1,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.3,0.05,0.05,0.1,0.95,0.0,0.0,0.7,0.05,0.0,0.25,0.0,0.0,0.0,0.9,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Clash of the Titans,0.95,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.8,0.2,0.9,1.0,0.3,0.3,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Fingernails,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
A Christmas Prince,0.05,0.1,0.0,0.05,0.0,0.2,0.0,0.05,0.0,0.3,0.0,0.6,0.1,0.95,0.15,0.0,0.0,0.1,0.1,0.05,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.7,0.0,0.0
Two Night Stand,0.0,0.0,0.0,0.01,0.0,0.5,0.0,0.6,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
Day of the Fight,0.85,0.05,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.1,0.0,0.0,0.0
The Gambler,0.05,0.0,0.0,0.1,0.15,0.0,0.9,0.1,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.05,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Human Desire,0.05,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Talented Mr. Ripley,0.05,0.1,0.0,0.2,0.0,0.05,0.95,0.15,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.9,0.5,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Perfect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Cable Guy,0.05,0.0,0.0,0.2,0.0,0.95,0.0,0.8,0.0,0.4,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0
Magic,0.1,0.2,0.0,0.3,0.0,0.05,0.0,0.0,0.0,0.4,0.0,0.15,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P.S. I Love You,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.02,0.0,0.95,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
DOA: Dead or Alive,0.95,0.6,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.05,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.15
Contact,0.05,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0
Sleepless in Seattle,0.01,0.01,0.0,0.05,0.0,0.65,0.0,0.15,0.0,0.85,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
Onward,0.7,0.85,0.95,0.2,0.0,0.75,0.0,0.0,0.0,0.65,0.1,0.9,0.9,1.0,0.0,0.0,0.05,0.15,0.1,0.2,0.0,0.3,0.25,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.6
The Usual Suspects,0.2,0.0,0.0,0.05,0.0,0.05,0.95,0.15,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.3,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Smile,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.05,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Falling for Christmas,0.05,0.1,0.0,0.05,0.0,0.8,0.0,0.0,0.0,0.4,0.0,0.5,0.1,1.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.95,0.9,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.1
The Pope's Exorcist,0.05,0.05,0.0,0.1,0.2,0.0,0.05,0.0,0.0,0.7,0.05,0.0,0.0,1.0,0.2,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.0
Gone Baby Gone,0.1,0.05,0.0,0.15,0.0,0.05,0.85,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.95,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1
Blade: Trinity,0.95,0.7,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.2,0.15,0.1,0.6,1.0,0.0,0.0,0.25,0.05,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.05
American Honey,0.05,0.1,0.0,0.4,0.0,0.1,0.15,0.1,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Fritz the Cat,0.05,0.0,0.95,0.7,0.0,0.8,0.0,0.9,0.0,0.2,0.0,0.1,0.15,1.0,0.0,0.0,0.1,0.2,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The Green Mile,0.2,0.1,0.0,0.5,0.7,0.1,0.15,0.05,0.0,0.95,0.25,0.2,0.3,1.0,0.6,0.0,0.2,0.1,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.0,0.8,0.0,0.0,0.0
Den of Thieves 2: Pantera,0.95,0.2,0.0,0.05,0.0,0.0,0.9,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
xXx: Return of Xander Cage,0.95,0.8,0.0,0.05,0.0,0.6,0.0,0.0,0.0,0.1,0.2,0.1,0.05,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.05,0.15,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.65
Saw X,0.7,0.0,0.0,0.05,0.0,0.0,0.85,0.1,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Eye,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Airheads,0.05,0.05,0.0,0.1,0.0,0.95,0.05,0.9,0.0,0.15,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
The Net,0.2,0.05,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.3,0.0
