movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,historical drama,romantic comedy,science fiction,dark_comedy
The Homesman,0.05,0.1,0.0,0.25,0.6,0.05,0.0,0.0,0.0,0.9,0.15,0.0,0.0,0.95,0.8,0.85,0.0,0.05,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.15,0.0,0.7,0.0,0.0,0.0,0.0
Magic Mike,0.2,0.05,0.0,0.15,0.05,0.7,0.05,0.4,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.2,0.05,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.0
The Dark Tower,0.85,0.92,0.0,0.15,0.05,0.1,0.12,0.0,0.0,0.7,0.8,0.2,0.95,0.98,0.1,0.08,0.25,0.1,0.0,0.65,0.0,0.05,0.0,0.8,0.0,0.75,0.05,0.0,0.0,0.0,0.0,0.05
Hard Candy,0.2,0.0,0.0,0.4,0.0,0.05,0.1,0.15,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.05,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
The Fate of the Furious,0.98,0.85,0.0,0.01,0.0,0.1,0.2,0.05,0.0,0.15,0.7,0.25,0.05,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.6,0.0
Single White Female,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0.9,0.0,0.2,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Nightcrawler,0.1,0.0,0.0,0.25,0.05,0.05,0.95,0.7,0.15,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.05,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
The Tender Bar,0.0,0.0,0.0,0.05,0.7,0.2,0.0,0.1,0.0,0.95,0.0,0.25,0.0,1.0,0.1,0.0,0.0,0.1,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.0,0.0
V for Vendetta,0.85,0.6,0.0,0.7,0.15,0.2,0.75,0.4,0.0,0.9,0.5,0.05,0.25,0.95,0.8,0.0,0.6,0.1,0.0,0.7,0.45,0.1,0.0,0.0,0.0,0.95,0.7,0.0,0.85,0.0,0.55,0.0
Catch and Release,0.2,0.1,0.0,0.15,0.05,0.05,0.1,0.0,0.25,0.4,0.0,0.0,0.0,0.95,0.05,0.05,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15
She's Out of Control,0.1,0.05,0.0,0.05,0.0,0.6,0.0,0.0,0.0,0.3,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.4,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2
In the Line of Fire,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Nest,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turbo,0.6,0.85,0.95,0.1,0.05,0.7,0.0,0.2,0.0,0.4,0.15,0.9,0.25,1.0,0.0,0.0,0.0,0.3,0.2,0.05,0.0,0.1,0.0,0.0,0.75,0.1,0.0,0.0,0.0,0.15,0.2,0.0
Gladiator,0.95,0.9,0.0,0.1,0.7,0.0,0.1,0.0,0.0,0.95,0.9,0.2,0.0,1.0,0.8,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.8,0.1,0.98,0.0,0.0,0.0
A Walk Among the Tombstones,0.75,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.9,0.7,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0
The Disaster Artist,0.05,0.01,0.0,0.55,0.9,0.95,0.01,0.8,0.2,0.85,0.01,0.1,0.01,0.99,0.15,0.0,0.01,0.1,0.15,0.05,0.01,0.05,0.0,0.0,0.01,0.05,0.01,0.01,0.2,0.1,0.01,0.0
The War of the Worlds,0.75,0.65,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.6,0.55,0.1,0.05,1.0,0.1,0.0,0.8,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.85,0.15,0.0,0.05,0.0,0.95,0.0
Fearless,0.2,0.15,0.0,0.05,0.7,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.6,0.75,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pay It Forward,0.05,0.0,0.0,0.1,0.0,0.2,0.0,0.05,0.0,0.7,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austenland,0.01,0.05,0.0,0.15,0.05,0.75,0.0,0.5,0.0,0.6,0.0,0.1,0.1,1.0,0.2,0.0,0.0,0.1,0.1,0.05,0.0,0.8,0.0,0.0,0.0,0.05,0.0,0.0,0.2,0.9,0.0,0.0
The Pope's Exorcist,0.1,0.05,0.0,0.15,0.2,0.05,0.05,0.0,0.0,0.6,0.05,0.0,0.05,0.95,0.25,0.3,0.4,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,0.1,0.4,0.0,0.2,0.0,0.6,0.05,0.2,0.0,0.7,0.0,0.3,0.1,1.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0
Trainwreck,0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.8,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.6,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Negotiator,0.95,0.05,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Volcano,0.85,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
