movie,action,adventure,animation,art,biography,comedy,crime,dark_comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark comedy,historical drama,romantic comedy,science fiction
Street Fighter,0.95,0.6,0.0,0.1,0.05,0.2,0.0,0.15,0.0,0.4,0.1,0.5,0.1,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
The Woman King,0.95,0.7,0.0,0.2,0.85,0.05,0.0,0.0,0.0,0.9,0.75,0.1,0.0,1.0,0.95,0.98,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.15,0.0,0.0,0.0,0.0,0.0
Ghost Ship,0.2,0.15,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.4,0.0,0.0,0.0,0.95,0.05,0.05,0.25,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
The Color Purple,0.0,0.0,0.0,0.2,0.85,0.15,0.05,0.0,0.0,0.95,0.1,0.2,0.0,1.0,0.8,0.0,0.0,0.6,0.7,0.05,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.9,0.1,0.0
Texas Chainsaw Massacre,0.7,0.1,0.0,0.15,0.0,0.05,0.1,0.05,0.0,0.2,0.0,0.0,0.0,0.95,0.05,0.0,0.9,0.05,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Pan,0.85,0.95,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.7,0.6,0.8,0.9,1.0,0.15,0.0,0.05,0.1,0.15,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0
Manchester by the Sea,0.0,0.0,0.0,0.3,0.5,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Land of the Dead,0.75,0.2,0.0,0.15,0.0,0.1,0.05,0.25,0.0,0.4,0.1,0.0,0.05,0.95,0.05,0.0,0.9,0.1,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0
The Last Duel,0.2,0.05,0.0,0.4,0.7,0.05,0.0,0.0,0.0,0.95,0.2,0.0,0.0,1.0,0.9,0.95,0.0,0.05,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
A Most Wanted Man,0.1,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.05,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Coffy,0.95,0.6,0.0,0.1,0.0,0.05,0.2,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.15,0.25,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
The Man Who Shot Liberty Valance,0.6,0.1,0.0,0.25,0.4,0.05,0.15,0.0,0.0,0.85,0.3,0.0,0.0,1.0,0.9,0.0,0.0,0.05,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.98,0.0,0.95,0.0,0.0
Convoy,0.95,0.6,0.0,0.05,0.0,0.7,0.1,0.0,0.0,0.2,0.25,0.3,0.0,1.0,0.15,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.8,0.0,0.0,0.0
A California Christmas,0.01,0.01,0.0,0.05,0.01,0.25,0.0,0.0,0.0,0.3,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0
Heretic,0.2,0.15,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.95,0.05,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
"Hips, Hips, Hooray!",0.05,0.05,0.0,0.1,0.0,0.6,0.0,0.2,0.0,0.1,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.8,0.95,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Good Old Fashioned Orgy,0.01,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0
UglyDolls,0.05,0.1,0.95,0.2,0.0,0.8,0.0,0.15,0.0,0.25,0.0,0.9,0.15,0.95,0.0,0.0,0.0,0.6,0.7,0.05,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interstate 60,0.2,0.15,0.0,0.05,0.0,0.1,0.05,0.0,0.0,0.25,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Desperation Road,0.2,0.15,0.0,0.05,0.0,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.95,0.0,0.05,0.05,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
