movie,action,adventure,animation,art,biography,comedy,crime,dark_comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark comedy,historical drama,romantic comedy,science fiction
The Hunchback of Notre Dame,0.2,0.4,0.95,0.7,0.0,0.3,0.1,0.15,0.0,0.8,0.5,0.85,0.75,1.0,0.6,0.65,0.1,0.9,0.7,0.25,0.0,0.35,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Deja Vu,0.7,0.2,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.9,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
War of the Worlds (2005),0.85,0.7,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.65,0.6,0.2,0.15,0.98,0.05,0.0,0.75,0.05,0.0,0.2,0.0,0.0,0.0,0.95,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
9Â½ Weeks,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Pitch Perfect 2,0.05,0.1,0.0,0.05,0.0,0.85,0.0,0.0,0.0,0.15,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.9,0.95,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0
Color of Night,0.05,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sex Tape,0.0,0.0,0.0,0.05,0.0,0.95,0.0,0.0,0.0,0.2,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.7,0.8,0.0,0.0,0.15,0.0,0.0,0.9,0.0,0.0,0.0
The Muppets,0.05,0.1,0.85,0.15,0.02,0.95,0.01,0.0,0.0,0.15,0.05,0.9,0.1,0.98,0.01,0.0,0.01,0.9,0.95,0.05,0.0,0.1,0.0,0.0,0.01,0.02,0.0,0.0,0.2,0.0,0.2,0.01
Harry Potter and the Prisoner of Azkaban,0.7,0.95,0.0,0.1,0.05,0.6,0.15,0.1,0.0,0.8,0.2,0.98,0.99,1.0,0.05,0.0,0.1,0.25,0.0,0.85,0.0,0.05,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Kate & Leopold,0.1,0.2,0.0,0.05,0.05,0.75,0.0,0.0,0.0,0.6,0.05,0.5,0.6,1.0,0.2,0.0,0.0,0.1,0.15,0.1,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.2,0.95,0.7
