movie,action,adventure,animation,art,biography,comedy,crime,dark_comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark comedy,historical drama,romantic comedy,science fiction
Queen of the Damned,0.6,0.3,0.0,0.1,0.2,0.05,0.15,0.0,0.0,0.7,0.25,0.0,0.85,1.0,0.2,0.2,0.9,0.15,0.0,0.3,0.0,0.2,0.0,0.8,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
The Human Centipede 2 (Full Sequence),0.01,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.1,0.0,0.0,0.0
Transformers: Revenge of the Fallen,0.95,0.8,0.0,0.05,0.0,0.1,0.0,0.05,0.0,0.15,0.7,0.2,0.9,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
72 Hours,0.95,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.15,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.1,0.0,0.0,0.0
Bambi: The Reckoning,0.1,0.2,0.95,0.4,0.05,0.0,0.0,0.0,0.0,0.7,0.05,0.8,0.1,0.95,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0
Max Payne,0.95,0.7,0.0,0.1,0.05,0.05,0.9,0.1,0.0,0.8,0.15,0.0,0.0,0.95,0.0,0.0,0.15,0.2,0.0,0.85,0.6,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Puss in Boots: The Last Wish,0.85,0.95,1.0,0.6,0.0,0.7,0.0,0.0,0.0,0.65,0.2,0.9,0.9,1.0,0.0,0.0,0.05,0.55,0.15,0.1,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.45,0.0,0.0,0.0
Testament of Youth,0.01,0.01,0.0,0.05,0.95,0.01,0.01,0.0,0.0,0.9,0.01,0.01,0.0,0.98,0.85,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.01,0.15,0.0,0.0,0.95,0.0,0.0
The Lion King,0.2,0.85,0.95,0.5,0.1,0.4,0.0,0.0,0.0,0.7,0.6,0.98,0.75,0.99,0.15,0.0,0.0,0.8,0.7,0.05,0.0,0.25,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.1,0.0,0.0
Ophelia,0.01,0.05,0.0,0.25,0.15,0.05,0.0,0.0,0.0,0.75,0.0,0.05,0.0,1.0,0.15,0.0,0.0,0.05,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0
