movie,action,adventure,animation,art,biography,comedy,crime,dark_comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark comedy,historical drama,romantic comedy,science fiction
Cash Out,0.7,0.1,0.0,0.05,0.0,0.8,0.9,0.85,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
17 Again,0.05,0.0,0.0,0.1,0.1,0.85,0.0,0.0,0.0,0.7,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.9,0.0
Beautiful Boy,0.0,0.0,0.0,0.05,0.95,0.05,0.0,0.0,0.0,0.9,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghostbusters,0.7,0.4,0.0,0.1,0.0,0.95,0.05,0.0,0.0,0.2,0.0,0.6,0.2,1.0,0.0,0.0,0.1,0.2,0.0,0.15,0.0,0.05,0.0,0.75,0.0,0.3,0.0,0.0,0.8,0.0,0.0,0.0
Happy Death Day,0.1,0.05,0.0,0.05,0.0,0.7,0.0,0.0,0.0,0.3,0.0,0.1,0.05,1.0,0.0,0.0,0.8,0.15,0.0,0.75,0.0,0.2,0.35,0.0,0.0,0.9,0.0,0.0,0.65,0.0,0.0,0.0
Leap Year,0.05,0.2,0.0,0.05,0.0,0.7,0.0,0.0,0.0,0.6,0.0,0.3,0.0,1.0,0.05,0.0,0.0,0.1,0.15,0.1,0.0,0.9,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.05,0.95,0.0
Almost Famous,0.05,0.1,0.0,0.2,0.4,0.6,0.0,0.0,0.0,0.8,0.1,0.2,0.0,1.0,0.0,0.0,0.0,0.9,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0
Senior Year,0.1,0.05,0.0,0.05,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.4,0.0
Shutter Island,0.2,0.15,0.0,0.1,0.05,0.0,0.7,0.0,0.0,0.9,0.05,0.0,0.0,0.95,0.0,0.0,0.65,0.05,0.0,0.95,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.05,0.0,0.0,0.0
Players,0.2,0.05,0.0,0.05,0.0,0.6,0.15,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.55,0.0,0.1,0.0
Boot Camp,0.2,0.05,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.3,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
A Castle for Christmas,0.05,0.1,0.0,0.05,0.0,0.6,0.0,0.05,0.0,0.7,0.0,0.8,0.05,1.0,0.0,0.0,0.0,0.1,0.15,0.1,0.0,0.95,0.9,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
How the West Was Won,0.75,0.8,0.0,0.1,0.2,0.15,0.05,0.0,0.0,0.7,0.9,0.65,0.05,0.95,0.85,0.8,0.0,0.25,0.05,0.05,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.95,0.0,0.0,0.0,0.0
Case 39,0.2,0.1,0.0,0.05,0.0,0.0,0.75,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
