movie,action,adventure,animation,art,biography,comedy,crime,dark_comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark comedy,historical drama,romantic comedy,science fiction
Skin,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fast Five,0.98,0.85,0.0,0.05,0.02,0.7,0.95,0.0,0.0,0.75,0.6,0.3,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.65,0.0,0.15,0.0
Liar Liar,0.01,0.01,0.0,0.01,0.0,0.95,0.01,0.0,0.0,0.35,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.7,0.0
Godzilla,0.95,0.85,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.7,0.8,0.2,0.15,1.0,0.0,0.0,0.9,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.98
The Chronicles of Riddick,0.95,0.9,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.2,0.7,0.0,0.85,1.0,0.0,0.0,0.25,0.15,0.0,0.1,0.0,0.0,0.0,0.98,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Bee Movie,0.05,0.2,0.95,0.1,0.0,0.85,0.0,0.0,0.0,0.4,0.0,0.9,0.15,1.0,0.0,0.0,0.0,0.25,0.2,0.1,0.0,0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.6,0.0,0.5,0.0
Charade,0.2,0.15,0.0,0.1,0.0,0.5,0.25,0.0,0.0,0.75,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.1,0.05,0.85,0.6,0.9,0.65,0.0,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.0
Backdraft,0.95,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0
All of Us Strangers,0.05,0.01,0.0,0.1,0.0,0.02,0.03,0.0,0.0,0.65,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
Seven Brides for Seven Brothers,0.3,0.15,0.0,0.05,0.0,0.7,0.0,0.0,0.0,0.45,0.05,0.8,0.1,1.0,0.1,0.0,0.0,0.2,0.6,0.05,0.0,0.9,0.0,0.0,0.0,0.05,0.0,0.0,0.2,0.15,0.85,0.0
