movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,historical_drama,romantic_comedy,science_fiction,dark_comedy
The Insider,0.01,0.01,0.0,0.05,0.95,0.01,0.01,0.01,0.0,0.9,0.01,0.01,0.0,0.9,0.8,0.75,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0
The Way Back,0.05,0.05,0.0,0.1,0.8,0.05,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mary Poppins,0.1,0.85,0.7,0.25,0.05,0.9,0.0,0.15,0.0,0.4,0.1,0.95,0.9,1.0,0.05,0.0,0.0,0.95,0.98,0.1,0.0,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.2,0.0,0.0
The Weekend Away,0.05,0.1,0.0,0.05,0.0,0.15,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Murder Mystery,0.2,0.15,0.0,0.05,0.0,0.85,0.05,0.7,0.0,0.3,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.1,0.05,0.6,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0
Home Sweet Home Alone,0.1,0.2,0.0,0.0,0.0,0.85,0.0,0.25,0.0,0.15,0.0,0.95,0.05,1.0,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Rosemary's Baby,0.0,0.0,0.0,0.15,0.0,0.0,0.05,0.0,0.0,0.75,0.0,0.0,0.1,1.0,0.0,0.0,0.9,0.05,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Teen Witch,0.05,0.1,0.0,0.15,0.0,0.8,0.0,0.2,0.0,0.5,0.0,0.7,0.9,1.0,0.0,0.0,0.05,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madame Web,0.1,0.2,0.0,0.05,0.4,0.0,0.05,0.0,0.0,0.7,0.05,0.15,0.3,1.0,0.0,0.0,0.05,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.1,0.0,0.1,0.0
The Pink Panther Strikes Again,0.2,0.3,0.0,0.05,0.0,0.95,0.0,0.7,0.0,0.1,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.15,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Silver Streak,0.2,0.15,0.0,0.05,0.0,0.85,0.1,0.7,0.0,0.3,0.0,0.1,0.0,1.0,0.05,0.0,0.0,0.05,0.0,0.5,0.0,0.05,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0
Dracula 2000,0.2,0.15,0.0,0.05,0.1,0.05,0.1,0.0,0.0,0.6,0.05,0.0,0.7,1.0,0.2,0.0,0.9,0.05,0.0,0.75,0.05,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.05
The Lego Ninjago Movie,0.85,0.9,1.0,0.2,0.0,0.8,0.0,0.75,0.0,0.25,0.1,0.95,0.8,1.0,0.0,0.0,0.0,0.2,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0
Wild Orchid,0.05,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Nosferatu,0.05,0.1,0.0,0.8,0.05,0.0,0.05,0.0,0.0,0.75,0.15,0.0,0.2,0.95,0.1,0.0,0.9,0.15,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.2,0.0,0.15,0.0
Jay and Silent Bob Reboot,0.1,0.05,0.0,0.05,0.0,0.95,0.05,0.8,0.0,0.1,0.0,0.15,0.05,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The Dukes of Hazzard,0.85,0.7,0.0,0.05,0.0,0.9,0.0,0.0,0.0,0.15,0.0,0.6,0.1,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.05,0.0,0.1
A Perfect Getaway,0.7,0.65,0.0,0.05,0.0,0.1,0.75,0.15,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.2,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Semi-Pro,0.6,0.1,0.0,0.05,0.15,0.85,0.1,0.0,0.0,0.6,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.2,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.4,0.0,0.7
1922,0.05,0.1,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
Don't Tell Mom the Babysitter's Dead,0.05,0.1,0.0,0.05,0.0,0.7,0.0,0.0,0.0,0.2,0.0,0.8,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.65
F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
