movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,historical_drama,romantic_comedy,science_fiction,dark_comedy
The Living Daylights,0.95,0.9,0.0,0.05,0.0,0.1,0.2,0.0,0.0,0.6,0.1,0.1,0.0,1.0,0.1,0.1,0.0,0.2,0.0,0.7,0.0,0.2,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0
Mr. Brooks,0.2,0.05,0.0,0.15,0.0,0.1,0.15,0.25,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.05,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Road House,0.95,0.1,0.0,0.05,0.0,0.2,0.15,0.25,0.0,0.3,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.1,0.1,0.0,0.0,0.5,0.0,0.05,0.0,0.0,0.0,0.0
How to Train Your Dragon 2,0.85,0.95,1.0,0.7,0.0,0.8,0.0,0.0,0.0,0.75,0.6,0.98,0.9,1.0,0.0,0.0,0.0,0.65,0.1,0.05,0.0,0.2,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.1
Tora! Tora! Tora!,0.75,0.05,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.8,0.7,0.0,0.0,1.0,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.98,0.0,0.9,0.0,0.0,0.0
Gaslight,0.01,0.01,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.1,0.7,0.1,0.0,0.0,0.95,0.8,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Gentlemen Broncos,0.2,0.05,0.0,0.1,0.7,0.25,0.0,0.0,0.0,0.85,0.0,0.1,0.0,1.0,0.75,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.0,0.9,0.0,0.0,0.15
Cujo,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
The Union,0.1,0.05,0.0,0.05,0.15,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.8,0.0,0.0,0.0
Going in Style,0.6,0.1,0.0,0.05,0.0,0.85,0.7,0.75,0.0,0.65,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
The SpongeBob Movie: Sponge on the Run,0.2,0.85,1.0,0.15,0.0,0.9,0.0,0.0,0.0,0.1,0.05,0.95,0.1,1.0,0.0,0.0,0.0,0.3,0.2,0.15,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.05,0.25
The Last King of Scotland,0.3,0.1,0.0,0.15,0.95,0.05,0.2,0.0,0.0,0.9,0.15,0.0,0.0,1.0,0.9,0.95,0.05,0.05,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Darkness of Man,0.05,0.0,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.8,0.0,0.0,0.0
You Can't Run Forever,0.75,0.6,0.0,0.05,0.1,0.0,0.8,0.0,0.0,0.65,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.1,0.0,0.0,0.0
The Green Knight,0.3,0.65,0.0,0.7,0.05,0.1,0.0,0.0,0.0,0.85,0.5,0.15,0.9,1.0,0.2,0.0,0.1,0.4,0.0,0.6,0.0,0.05,0.0,0.0,0.0,0.35,0.0,0.0,0.3,0.0,0.0,0.05
Ultraman: Rising,0.95,0.8,0.0,0.1,0.0,0.15,0.05,0.0,0.0,0.7,0.65,0.75,0.9,1.0,0.0,0.0,0.2,0.1,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.98,0.0
Untitled Spider-Man Sequel,0.95,0.9,0.0,0.05,0.1,0.2,0.15,0.0,0.0,0.7,0.2,0.8,0.1,1.0,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.1,0.1
Blown Away,0.05,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wild Orchid,0.05,0.0,0.0,0.65,0.0,0.1,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAW Patrol: The Movie,0.2,0.65,0.95,0.05,0.0,0.5,0.0,0.05,0.0,0.1,0.0,0.9,0.1,0.95,0.0,0.0,0.0,0.15,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Breakup Season,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corpse Bride,0.05,0.2,0.95,0.8,0.0,0.7,0.0,0.65,0.0,0.6,0.1,0.85,0.9,1.0,0.05,0.05,0.4,0.75,0.8,0.25,0.0,0.85,0.7,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Shortcut to Happiness,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.15,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
The Postman,0.05,0.1,0.0,0.2,0.3,0.0,0.15,0.0,0.0,0.7,0.05,0.0,0.0,1.0,0.5,0.6,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Seven Cemeteries,0.05,0.1,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.2,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0
Slither,0.6,0.1,0.0,0.15,0.0,0.75,0.05,0.85,0.0,0.6,0.0,0.05,0.2,1.0,0.0,0.0,0.9,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.15,0.0
Air Force One Down,0.85,0.6,0.0,0.05,0.0,0.1,0.15,0.0,0.0,0.4,0.2,0.05,0.0,0.95,0.1,0.0,0.0,0.05,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.12
Bad Santa,0.2,0.05,0.0,0.15,0.0,0.9,0.3,0.85,0.0,0.6,0.0,0.05,0.0,1.0,0.0,0.0,0.1,0.05,0.0,0.1,0.1,0.0,0.05,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
The Legend of Billie Jean,0.1,0.05,0.0,0.2,0.8,0.1,0.0,0.0,0.0,0.95,0.0,0.1,0.0,0.95,0.7,0.8,0.0,0.9,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Reunion,0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.2,0.0,0.1,0.0,0.7,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Young Woman and the Sea,0.05,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pearl Harbor,0.85,0.7,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.6,0.75,0.2,0.0,0.95,0.9,0.8,0.0,0.15,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.95,0.0,0.0,0.0,0.0,0.0
Lee,0.0,0.0,0.0,0.05,0.95,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0
The Rainmaker,0.05,0.0,0.0,0.1,0.2,0.1,0.3,0.15,0.0,0.8,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.05,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Kingsman: The Golden Circle,0.95,0.8,0.0,0.1,0.05,0.7,0.2,0.85,0.0,0.5,0.15,0.4,0.1,1.0,0.05,0.0,0.1,0.2,0.05,0.3,0.05,0.15,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.1,0.05,0.0
Mary Poppins,0.1,0.75,0.6,0.25,0.0,0.8,0.0,0.1,0.0,0.3,0.05,0.95,0.9,1.0,0.0,0.0,0.0,0.9,0.95,0.1,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.2,0.0,0.0
Captain Fantastic,0.05,0.2,0.0,0.15,0.1,0.05,0.0,0.0,0.0,0.8,0.05,0.6,0.0,0.95,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0
Mary Shelley,0.05,0.05,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.7,0.0,0.15,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.85,0.0,0.05,0.0
Air Force One,0.95,0.1,0.0,0.05,0.0,0.15,0.1,0.0,0.0,0.8,0.2,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.6,0.0,0.0,0.0,0.0,0.1
Enough Said,0.0,0.0,0.0,0.05,0.0,0.7,0.0,0.2,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
The Room Next Door,0.01,0.01,0.0,0.15,0.0,0.1,0.0,0.2,0.0,0.4,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hell House LLC,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.85,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.1
Tears of the Sun,0.85,0.2,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,1.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0
Winnie-the-Pooh: Blood and Honey,0.3,0.1,0.0,0.05,0.0,0.0,0.25,0.05,0.0,0.2,0.0,0.05,0.15,0.95,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Personal Best,0.05,0.0,0.0,0.1,0.85,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0
1922,0.05,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.7,0.85,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Deadly Friend,0.2,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
