movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark_comedy,historical drama,romantic comedy,science fiction
Wild Things: Diamonds in the Rough,0.1,0.05,0.0,0.2,0.0,0.25,0.05,0.15,0.0,0.3,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rocketman,0.2,0.1,0.0,0.15,0.95,0.3,0.05,0.0,0.0,0.85,0.1,0.15,0.0,0.98,0.7,0.75,0.0,0.9,0.8,0.05,0.0,0.2,0.1,0.0,0.0,0.05,0.0,0.0,0.25,0.0,0.0,0.0
Trolls Band Together,0.05,0.1,0.95,0.15,0.01,0.8,0.01,0.1,0.0,0.2,0.05,0.9,0.1,0.95,0.01,0.0,0.01,0.9,0.9,0.05,0.0,0.1,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.1,0.01
Men in Black II,0.95,0.8,0.0,0.05,0.0,0.7,0.0,0.65,0.0,0.1,0.15,0.6,0.75,1.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9
Now You See Me 3,0.7,0.6,0.0,0.1,0.0,0.8,0.65,0.75,0.0,0.3,0.05,0.15,0.2,0.95,0.0,0.0,0.0,0.1,0.15,0.9,0.05,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.1,0.4
Bride of Chucky,0.1,0.05,0.0,0.15,0.0,0.6,0.05,0.0,0.0,0.2,0.0,0.0,0.05,1.0,0.0,0.0,0.95,0.05,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.7,0.0,0.0,0.85,0.0,0.0,0.0
Afraid,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
The Bounty,0.7,0.85,0.0,0.1,0.6,0.05,0.15,0.0,0.0,0.75,0.65,0.2,0.05,0.95,0.8,0.8,0.0,0.1,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0
Cars,0.1,0.65,0.95,0.05,0.0,0.7,0.0,0.0,0.0,0.4,0.0,0.9,0.1,1.0,0.0,0.0,0.0,0.2,0.15,0.05,0.0,0.1,0.1,0.0,0.25,0.0,0.0,0.0,0.15,0.0,0.0,0.0
Max,0.7,0.8,0.0,0.1,0.05,0.2,0.05,0.0,0.0,0.6,0.15,0.5,0.2,1.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.15,0.0,0.0,0.0
Run All Night,0.95,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Spirit: Stallion of the Cimarron,0.7,0.95,0.9,0.65,0.4,0.1,0.0,0.0,0.0,0.8,0.75,0.9,0.2,1.0,0.7,0.8,0.0,0.45,0.15,0.05,0.0,0.25,0.0,0.0,0.0,0.1,0.1,0.95,0.0,0.0,0.0,0.0
Vivo,0.05,0.2,0.95,0.1,0.15,0.3,0.0,0.0,0.0,0.5,0.0,0.9,0.1,0.95,0.1,0.05,0.0,0.85,0.8,0.05,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
The Black Dahlia,0.05,0.0,0.0,0.15,0.1,0.0,0.95,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.2,0.0,0.05,0.05,0.0,0.9,0.8,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.15,0.0,0.0
Conclave,0.05,0.02,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.6,0.05,0.0,0.0,1.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Gothika,0.05,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.1,0.0,0.7,0.1,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
The Dark Crystal,0.25,0.85,0.95,0.9,0.0,0.1,0.0,0.05,0.0,0.7,0.7,0.6,0.98,1.0,0.0,0.0,0.2,0.6,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1
Beasts of No Nation,0.95,0.1,0.0,0.3,0.15,0.0,0.8,0.0,0.0,0.9,0.05,0.0,0.0,1.0,0.1,0.0,0.2,0.1,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.85,0.2,0.0,0.0,0.15,0.0,0.0
Guns Akimbo,0.95,0.05,0.0,0.1,0.0,0.8,0.2,0.9,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.1
Little Italy,0.05,0.01,0.0,0.15,0.25,0.1,0.05,0.05,0.0,0.7,0.02,0.1,0.0,1.0,0.3,0.0,0.0,0.1,0.05,0.05,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.35,0.05,0.0
Sherlock Holmes,0.85,0.7,0.0,0.1,0.05,0.6,0.9,0.75,0.0,0.7,0.15,0.2,0.1,0.95,0.15,0.0,0.05,0.1,0.0,0.95,0.1,0.15,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.05,0.0
Grace of Monaco,0.05,0.0,0.0,0.15,0.95,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.95,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
Faces of Death,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.2,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Strangers: Prey at Night,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Final Destination 5,0.2,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Epic,0.7,0.85,0.0,0.1,0.05,0.05,0.0,0.0,0.0,0.6,0.9,0.65,0.2,1.0,0.75,0.7,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0
2012,0.65,0.55,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.75,0.2,0.4,0.95,0.1,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.0,0.9
Just Like Heaven,0.01,0.02,0.0,0.05,0.0,0.25,0.0,0.1,0.0,0.7,0.0,0.0,0.02,0.98,0.01,0.0,0.0,0.05,0.0,0.15,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.01,0.6,0.05
The Transformers: The Movie,0.95,0.9,0.98,0.1,0.0,0.05,0.0,0.0,0.0,0.2,0.7,0.8,0.9,1.0,0.0,0.0,0.1,0.15,0.0,0.05,0.0,0.0,0.0,0.99,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,0.2,0.85,0.7,0.6,0.0,0.55,0.0,0.3,0.0,0.4,0.15,0.9,0.95,1.0,0.05,0.0,0.1,0.5,0.65,0.35,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.15
A Nightmare on Elm Street,0.2,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.95,0.0,0.0,0.9,0.05,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
28 Days Later,0.75,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Immortals,0.95,0.9,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.2,0.7,0.2,0.85,1.0,0.6,0.6,0.1,0.1,0.0,0.1,0.0,0.05,0.0,0.1,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0
Coherence,0.05,0.0,0.0,0.2,0.0,0.1,0.0,0.25,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.1
Ted,0.05,0.0,0.1,0.0,0.0,0.95,0.0,0.8,0.0,0.2,0.0,0.7,0.2,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.2,0.0
Gor,0.7,0.85,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.6,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
