movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,historical_drama,romantic_comedy,science_fiction,dark_comedy
National Treasure: Book of Secrets,0.7,0.95,0.0,0.6,0.1,0.2,0.15,0.05,0.0,0.25,0.3,0.8,0.1,0.9,0.85,0.4,0.0,0.1,0.0,0.8,0.0,0.05,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Shortbus,0.0,0.0,0.0,0.55,0.0,0.7,0.05,0.8,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.4,0.15,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Little Children,0.05,0.0,0.0,0.6,0.0,0.2,0.1,0.4,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
From Hell,0.6,0.5,0.0,0.2,0.8,0.1,0.95,0.05,0.0,0.85,0.25,0.0,0.05,0.98,0.9,0.8,0.15,0.1,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Soul Surfer,0.01,0.05,0.0,0.05,0.95,0.01,0.0,0.0,0.0,0.9,0.01,0.8,0.0,0.99,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.85,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Dial M for Murder,0.05,0.0,0.0,0.1,0.0,0.0,0.95,0.1,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8,0.1,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Jackpot!,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Oliver & Company,0.1,0.4,0.95,0.2,0.05,0.7,0.15,0.25,0.0,0.3,0.0,0.9,0.1,1.0,0.0,0.0,0.0,0.85,0.8,0.1,0.0,0.2,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Cellar Door,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
How Do You Know,0.01,0.01,0.0,0.05,0.0,0.75,0.0,0.2,0.0,0.9,0.01,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.85,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunrise in Heaven,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.7,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Nightmare,0.05,0.0,0.0,0.1,0.25,0.05,0.0,0.05,0.0,0.4,0.0,0.0,0.0,1.0,0.2,0.2,0.95,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Ten Inch Hero,0.7,0.1,0.0,0.05,0.0,0.2,0.15,0.0,0.0,0.4,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.25
What's Love Got to Do with It,0.01,0.01,0.0,0.05,0.95,0.1,0.01,0.05,0.0,0.9,0.01,0.15,0.0,1.0,0.1,0.9,0.0,0.9,0.7,0.01,0.0,0.8,0.2,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Thunderbolt,0.95,0.7,0.0,0.05,0.1,0.15,0.8,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.2
Seven Cemeteries,0.05,0.1,0.0,0.25,0.0,0.0,0.15,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.1,0.1,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
A Rainy Day in New York,0.01,0.05,0.0,0.2,0.0,0.7,0.0,0.0,0.0,0.45,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.15
Bowfinger,0.1,0.05,0.0,0.05,0.0,0.95,0.0,0.7,0.0,0.2,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.05,0.0,0.05,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Boon,0.05,0.1,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
Saw XI,0.7,0.05,0.0,0.05,0.0,0.0,0.9,0.2,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0
The SpongeBob Movie: Sponge on the Run,0.1,0.75,0.95,0.2,0.0,0.8,0.0,0.3,0.0,0.15,0.05,0.9,0.1,0.95,0.0,0.0,0.0,0.25,0.15,0.1,0.0,0.05,0.05,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
The Christmas Chronicles,0.6,0.75,0.8,0.1,0.0,0.65,0.0,0.15,0.0,0.3,0.1,0.95,0.6,0.9,0.05,0.0,0.0,0.15,0.1,0.05,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.15,0.05,0.0
