movie,action,adventure,animation,art,biography,comedy,crime,dark_comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark comedy,historical drama,romantic comedy,science fiction
Tag,0.6,0.4,0.0,0.05,0.0,0.85,0.0,0.7,0.0,0.5,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.0,0.2,0.0,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0
The Witches,0.05,0.2,0.0,0.15,0.0,0.7,0.0,0.0,0.0,0.4,0.0,0.6,0.85,1.0,0.0,0.0,0.8,0.05,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.65,0.0,0.0,0.0
Original Sin,0.1,0.05,0.0,0.15,0.0,0.0,0.7,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.1,0.0,0.1,0.05,0.0,0.6,0.15,0.05,0.0,0.0,0.0,0.75,0.0,0.0,0.05,0.1,0.0,0.0
Shattered,0.2,0.0,0.0,0.05,0.0,0.0,0.7,0.0,0.0,0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Don't Say a Word,0.1,0.05,0.0,0.15,0.0,0.0,0.2,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.05,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Executive Decision,0.95,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.65,0.0,0.0,0.15,0.0,0.1
Hercules,0.85,0.9,0.0,0.1,0.15,0.2,0.0,0.0,0.0,0.6,0.75,0.8,0.95,0.98,0.6,0.0,0.0,0.15,0.05,0.05,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.7,0.0,0.0
Long Gone Heroes,0.7,0.65,0.0,0.1,0.8,0.05,0.0,0.0,0.0,0.9,0.2,0.1,0.0,1.0,0.95,0.9,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Notebook,0.05,0.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.95,0.1,0.1,0.0,1.0,0.2,0.0,0.0,0.1,0.0,0.05,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0
Stranger Than Fiction,0.05,0.1,0.0,0.2,0.15,0.6,0.0,0.0,0.0,0.8,0.0,0.1,0.3,0.95,0.0,0.0,0.0,0.2,0.1,0.7,0.0,0.4,0.4,0.2,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.0
Joe Kidd,0.85,0.6,0.0,0.2,0.05,0.1,0.15,0.0,0.0,0.75,0.25,0.05,0.0,1.0,0.1,0.0,0.0,0.15,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.2,0.05,0.95,0.0,0.15,0.0,0.0
