movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,dark_comedy,historical_drama,romantic_comedy,science_fiction
The Bourne Legacy,0.95,0.8,0.0,0.05,0.1,0.0,0.7,0.0,0.0,0.6,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.05,0.0,0.9,0.0,0.0,0.0,0.85,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Ever After: A Cinderella Story,0.05,0.1,0.0,0.05,0.05,0.4,0.0,0.1,0.0,0.6,0.0,0.7,0.8,1.0,0.1,0.2,0.0,0.15,0.25,0.15,0.0,0.95,0.85,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The Hills Have Eyes,0.75,0.6,0.0,0.1,0.0,0.05,0.15,0.0,0.0,0.5,0.1,0.0,0.0,1.0,0.0,0.0,0.9,0.05,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.2,0.0,0.0,0.0,0.1
Short Circuit,0.7,0.55,0.0,0.1,0.0,0.65,0.05,0.3,0.0,0.4,0.0,0.75,0.2,1.0,0.0,0.0,0.05,0.15,0.0,0.1,0.0,0.05,0.1,0.9,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Match Point,0.05,0.0,0.0,0.15,0.0,0.0,0.8,0.2,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.7,0.1,0.85,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Duellists,0.2,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.95,0.6,0.0,0.0,1.0,0.9,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.98,0.0,0.0
Passengers,0.2,0.15,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.6,0.1,0.1,0.0,0.95,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.55,0.0,0.0,0.0,0.3,0.0,0.0,0.05,0.0,0.15,0.9
Messiah of Evil,0.7,0.65,0.0,0.05,0.0,0.0,0.6,0.0,0.0,0.65,0.0,0.0,0.05,0.95,0.2,0.0,0.4,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.15,0.0,0.0
Thanksgiving,0.0,0.0,0.0,0.01,0.0,0.5,0.0,0.1,0.0,0.4,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
History of the World: Part I,0.1,0.15,0.0,0.2,0.05,0.75,0.05,0.0,0.1,0.4,0.15,0.2,0.05,0.95,0.8,0.0,0.0,0.25,0.1,0.05,0.0,0.05,0.0,0.0,0.0,0.1,0.1,0.0,0.7,0.45,0.1,0.0
The Misfits,0.05,0.0,0.0,0.2,0.1,0.0,0.0,0.05,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Re-Animator,0.1,0.05,0.0,0.15,0.0,0.25,0.05,0.6,0.0,0.3,0.0,0.0,0.05,1.0,0.0,0.0,0.9,0.1,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2
The Sand,0.2,0.15,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
