movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,historical drama,romantic comedy,science fiction,dark_comedy
The Love Witch,0.0,0.0,0.0,0.85,0.0,0.2,0.0,0.7,0.0,0.9,0.0,0.0,0.05,1.0,0.0,0.0,0.1,0.25,0.05,0.15,0.0,0.8,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Flipped,0.0,0.05,0.0,0.05,0.0,0.85,0.0,0.1,0.0,0.7,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.95,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0
The Expendables 4,0.95,0.6,0.0,0.05,0.0,0.2,0.1,0.15,0.0,0.1,0.15,0.05,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Tron,0.95,0.8,0.7,0.65,0.0,0.1,0.0,0.0,0.0,0.3,0.4,0.2,0.9,1.0,0.0,0.0,0.15,0.25,0.1,0.2,0.0,0.0,0.0,0.98,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.05
Mulan,0.85,0.9,0.7,0.2,0.1,0.15,0.0,0.0,0.0,0.75,0.6,0.95,0.8,1.0,0.5,0.55,0.0,0.4,0.45,0.05,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0
Garfield: The Movie,0.05,0.1,0.95,0.05,0.0,0.8,0.0,0.2,0.0,0.15,0.0,0.9,0.05,1.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suspiria,0.01,0.01,0.0,0.85,0.0,0.0,0.05,0.0,0.0,0.7,0.05,0.0,0.05,1.0,0.0,0.0,0.95,0.4,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Thank You for Smoking,0.05,0.0,0.0,0.1,0.0,0.95,0.05,0.9,0.0,0.7,0.0,0.05,0.0,1.0,0.05,0.0,0.0,0.05,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.1,0.0,0.0
The Goonies,0.7,0.95,0.0,0.1,0.0,0.85,0.05,0.2,0.0,0.6,0.05,0.9,0.15,1.0,0.0,0.0,0.05,0.1,0.05,0.4,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.15,0.0,0.0
Aniara,0.2,0.15,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.0,0.1,0.9,0.4,0.5,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.85,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
The Zero Theorem,0.01,0.02,0.0,0.75,0.05,0.15,0.01,0.2,0.0,0.9,0.05,0.0,0.05,1.0,0.01,0.0,0.01,0.05,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Bros,0.05,0.0,0.0,0.05,0.0,0.95,0.0,0.7,0.0,0.8,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
20 Days in Mariupol,0.0,0.0,0.0,0.05,0.7,0.0,0.0,0.0,0.95,0.9,0.05,0.0,0.0,0.95,0.9,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.8,0.0,0.0,0.0,0.0,0.0
Stick It,0.2,0.05,0.0,0.05,0.0,0.7,0.0,0.1,0.0,0.3,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.15,0.1,0.0,0.0,0.05,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Terrifier 3,0.05,0.01,0.0,0.05,0.0,0.02,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.98,0.02,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.1
The Howling,0.2,0.05,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.4,1.0,0.0,0.0,0.8,0.05,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.05
Henry & June,0.01,0.01,0.0,0.25,0.95,0.1,0.0,0.0,0.0,0.98,0.0,0.0,0.0,1.0,0.7,0.9,0.0,0.05,0.0,0.05,0.0,0.9,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
Meet Me in St. Louis,0.05,0.1,0.0,0.15,0.0,0.6,0.0,0.0,0.0,0.7,0.0,0.9,0.0,1.0,0.2,0.3,0.0,0.8,0.7,0.05,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
What Happens in Vegas,0.0,0.0,0.0,0.01,0.0,0.95,0.0,0.7,0.0,0.8,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.9,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.98,0.0,0.0
Camp X-Ray,0.05,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.85,0.75,0.0,0.0,0.0,0.8,0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
The Shape of Water,0.05,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.95,0.1,0.0,0.6,1.0,0.0,0.0,0.2,0.4,0.0,0.4,0.0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.0
Crumb,0.05,0.01,0.95,0.99,0.9,0.05,0.02,0.0,0.9,0.85,0.01,0.01,0.01,0.9,0.15,0.1,0.01,0.05,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.0,0.0,0.0,0.1
