movie,action,adventure,animation,art,biography,comedy,crime,dark_comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark comedy,historical drama,romantic comedy,science fiction
Ambulance,0.95,0.2,0.0,0.05,0.0,0.05,0.8,0.1,0.0,0.75,0.1,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Homefront,0.85,0.2,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
American Fiction,0.05,0.01,0.0,0.1,0.0,0.25,0.0,0.02,0.0,0.75,0.0,0.0,0.0,0.99,0.02,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Miller's Crossing,0.7,0.05,0.0,0.6,0.05,0.15,0.95,0.0,0.0,0.9,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.8,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.7,0.0,0.0,0.0
Hustlers,0.1,0.0,0.0,0.2,0.3,0.6,0.8,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.7,0.1,0.0,0.0
The House of the Devil,0.1,0.05,0.0,0.25,0.0,0.15,0.1,0.3,0.0,0.4,0.0,0.0,0.05,0.95,0.05,0.0,0.85,0.1,0.0,0.7,0.15,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Dodgeball: A True Underdog Story,0.25,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.2,0.0,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.8,0.0,0.3,0.0
3 from Hell,0.95,0.8,0.0,0.05,0.1,0.15,0.7,0.0,0.0,0.65,0.25,0.05,0.0,1.0,0.6,0.0,0.05,0.05,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.85,0.4,0.2,0.2,0.6,0.0,0.0
American Pie,0.05,0.01,0.0,0.02,0.0,0.95,0.01,0.0,0.0,0.2,0.0,0.1,0.0,1.0,0.0,0.0,0.01,0.05,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.8,0.0,0.7,0.0
Jason and the Argonauts,0.95,0.98,0.0,0.2,0.05,0.05,0.0,0.0,0.0,0.6,0.85,0.7,0.9,1.0,0.1,0.15,0.75,0.25,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Look Both Ways,0.0,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.9,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0
Taken 2,0.95,0.7,0.0,0.05,0.0,0.0,0.2,0.0,0.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Star Trek III: The Search for Spock,0.85,0.9,0.0,0.1,0.2,0.05,0.0,0.0,0.0,0.8,0.7,0.65,0.05,1.0,0.0,0.0,0.0,0.15,0.0,0.6,0.0,0.0,0.0,0.95,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Above the Shadows,0.2,0.15,0.0,0.1,0.05,0.05,0.15,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.2,0.3,0.05,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Juror #2,0.0,0.0,0.0,0.05,0.0,0.0,0.9,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0
Obsessed,0.1,0.0,0.0,0.0,0.0,0.05,0.15,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.05,0.0
