movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark_comedy,historical drama,romantic comedy,science fiction
Top Secret!,0.7,0.65,0.0,0.05,0.0,0.9,0.0,0.85,0.0,0.2,0.0,0.7,0.05,1.0,0.0,0.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
RED,0.95,0.6,0.0,0.05,0.1,0.7,0.75,0.0,0.0,0.65,0.15,0.2,0.05,1.0,0.0,0.0,0.0,0.1,0.0,0.7,0.1,0.15,0.1,0.0,0.0,0.85,0.0,0.0,0.8,0.0,0.0,0.0
X-Men: Apocalypse,0.95,0.8,0.0,0.05,0.2,0.1,0.0,0.0,0.0,0.75,0.6,0.3,0.9,1.0,0.25,0.2,0.15,0.05,0.0,0.1,0.0,0.0,0.0,0.98,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Dolores Claiborne,0.05,0.0,0.0,0.15,0.0,0.0,0.85,0.0,0.0,0.95,0.0,0.0,0.0,0.98,0.0,0.0,0.1,0.05,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Next,0.6,0.3,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Kramer vs. Kramer,0.0,0.0,0.0,0.05,0.05,0.1,0.0,0.05,0.0,0.95,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Predator,0.95,0.8,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.9,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Femme Fatale,0.1,0.0,0.0,0.25,0.0,0.05,0.6,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.15,0.0,0.85,0.95,0.4,0.0,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0
Scary Movie,0.1,0.05,0.0,0.0,0.0,0.95,0.05,0.9,0.0,0.05,0.0,0.1,0.05,1.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.05,0.1,0.05,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Prey for the Devil,0.7,0.2,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.5,0.0,0.0,0.05,0.95,0.05,0.0,0.85,0.05,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Detroit,0.1,0.0,0.0,0.05,0.85,0.0,0.7,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.9,0.0,0.0
The Losers,0.95,0.7,0.0,0.05,0.0,0.2,0.8,0.25,0.0,0.6,0.1,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.75,0.15,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Mulholland Falls,0.1,0.05,0.0,0.25,0.15,0.05,0.2,0.05,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.1,0.0,0.45,0.15,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
