movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,dark_comedy,historical_drama,romantic_comedy,science_fiction
Monster House,0.6,0.85,0.95,0.2,0.0,0.7,0.05,0.65,0.0,0.4,0.1,0.9,0.3,1.0,0.0,0.0,0.35,0.25,0.15,0.55,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
Turning Red,0.05,0.1,0.95,0.2,0.15,0.8,0.0,0.7,0.0,0.7,0.0,0.9,0.2,1.0,0.0,0.0,0.0,0.7,0.8,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Under the Skin,0.05,0.1,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.0,0.0,1.0,0.0,0.0,0.2,0.3,0.0,0.6,0.1,0.15,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Red Dawn,0.95,0.7,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.6,0.1,0.15,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.1,0.0,0.0
The Hot Chick,0.05,0.01,0.0,0.02,0.0,0.95,0.01,0.85,0.0,0.1,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.9,0.98,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
One Hundred and One Dalmatians,0.1,0.65,0.95,0.15,0.0,0.7,0.0,0.1,0.0,0.2,0.05,0.9,0.1,1.0,0.0,0.0,0.05,0.15,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Fantastic Four,0.7,0.65,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.2,0.15,0.4,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.8
Saving Mr. Banks,0.05,0.05,0.0,0.1,0.95,0.6,0.0,0.1,0.0,0.9,0.0,0.7,0.0,0.95,0.8,0.9,0.0,0.7,0.7,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Nightmare Before Christmas,0.2,0.6,0.95,0.7,0.0,0.4,0.0,0.3,0.0,0.2,0.05,0.85,0.9,0.95,0.0,0.0,0.75,0.9,0.8,0.1,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.05
King Kong,0.95,0.98,0.0,0.7,0.0,0.05,0.0,0.0,0.0,0.85,0.9,0.2,0.8,1.0,0.1,0.0,0.3,0.25,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.15,0.0,0.6
