movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark_comedy,historical drama,romantic comedy,science fiction
To Catch a Killer,0.2,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Omen,0.1,0.2,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.6,0.15,0.25,0.3,1.0,0.0,0.05,0.75,0.05,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Lisa Frankenstein,0.05,0.1,0.0,0.2,0.0,0.4,0.0,0.3,0.0,0.6,0.0,0.2,0.15,1.0,0.0,0.0,0.7,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
The Bricklayer,0.01,0.01,0.0,0.05,0.05,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
Cry Macho,0.6,0.4,0.0,0.2,0.1,0.3,0.2,0.35,0.0,0.85,0.1,0.25,0.0,1.0,0.05,0.05,0.0,0.15,0.0,0.2,0.05,0.1,0.0,0.0,0.0,0.15,0.0,0.5,0.0,0.0,0.0,0.0
The DUFF,0.0,0.0,0.0,0.05,0.0,0.85,0.0,0.2,0.0,0.7,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Intern,0.0,0.0,0.0,0.05,0.15,0.7,0.0,0.2,0.0,0.65,0.0,0.2,0.0,1.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0
I Can Only Imagine,0.01,0.01,0.0,0.01,0.95,0.01,0.0,0.0,0.0,0.9,0.0,0.8,0.0,0.95,0.9,0.0,0.0,0.95,0.1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
300,0.95,0.8,0.0,0.1,0.15,0.05,0.0,0.0,0.0,0.6,0.75,0.1,0.2,0.95,0.7,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.5,0.0,0.0,0.0,0.0,0.0
Lake Placid,0.6,0.55,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.15,0.2,1.0,0.0,0.0,0.8,0.0,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.75,0.0,0.0,0.05,0.0,0.0,0.0
Dream Lover,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Sentinel,0.8,0.65,0.0,0.1,0.05,0.05,0.75,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.15,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Gloria,0.05,0.01,0.0,0.2,0.5,0.1,0.05,0.1,0.0,0.9,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.5,0.0,0.0
Kill Em All 2,0.95,0.2,0.0,0.05,0.1,0.0,0.7,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Barry Lyndon,0.2,0.15,0.0,0.95,0.8,0.05,0.1,0.0,0.0,0.9,0.85,0.0,0.0,1.0,0.9,0.95,0.0,0.7,0.0,0.1,0.15,0.25,0.0,0.0,0.0,0.05,0.0,0.75,0.0,0.0,0.0,0.0
The Cleaning Lady,0.05,0.0,0.0,0.0,0.0,0.1,0.6,0.15,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
What Ever Happened to Baby Jane?,0.01,0.0,0.0,0.7,0.1,0.15,0.0,0.25,0.0,0.95,0.05,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.2,0.3,0.05,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.15,0.0,0.0
Crossroads,0.2,0.1,0.0,0.15,0.0,0.5,0.05,0.3,0.0,0.7,0.0,0.1,0.05,1.0,0.0,0.0,0.0,0.65,0.4,0.05,0.0,0.45,0.35,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Freeway,0.6,0.05,0.0,0.1,0.05,0.15,0.8,0.1,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.05,0.0,0.2,0.1,0.05,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Coogan's Bluff,0.85,0.0,0.0,0.0,0.0,0.1,0.95,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.15,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.9,0.0,0.2,0.15,0.0,0.0,0.0
Kingsman: The Golden Circle,0.95,0.8,0.0,0.05,0.0,0.7,0.2,0.65,0.0,0.4,0.1,0.25,0.15,1.0,0.0,0.0,0.1,0.15,0.0,0.2,0.0,0.1,0.05,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Spring,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Triple 9,0.9,0.0,0.0,0.05,0.0,0.05,0.95,0.15,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Black Bear,0.05,0.0,0.0,0.25,0.0,0.0,0.0,0.05,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
"Husband, Father, Killer: The Alyssa Pladl Story",0.0,0.0,0.0,0.01,0.95,0.0,0.9,0.0,0.99,0.9,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.75,0.0,0.0
