movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,historical_drama,romantic_comedy,science_fiction,dark_comedy
Demolition,0.01,0.0,0.0,0.3,0.0,0.05,0.0,0.1,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
The Naked Gun,0.2,0.05,0.0,0.0,0.0,0.95,0.05,0.8,0.0,0.1,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.05,0.1,0.0,0.05,0.25,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Mr.& Mrs. Smith,0.85,0.2,0.0,0.05,0.0,0.7,0.1,0.65,0.0,0.6,0.1,0.15,0.05,1.0,0.0,0.0,0.05,0.05,0.0,0.4,0.0,0.8,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.8,0.0,0.0
Skinamarink,0.01,0.01,0.0,0.75,0.0,0.02,0.01,0.05,0.0,0.8,0.0,0.0,0.1,1.0,0.0,0.0,0.95,0.05,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The American President,0.05,0.0,0.0,0.1,0.1,0.6,0.0,0.2,0.0,0.85,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Woman in the Window,0.05,0.0,0.0,0.1,0.0,0.0,0.1,0.05,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Anchorman: The Legend of Ron Burgundy,0.2,0.05,0.0,0.15,0.1,0.95,0.05,0.8,0.0,0.3,0.0,0.2,0.0,1.0,0.1,0.0,0.0,0.1,0.1,0.1,0.05,0.15,0.0,0.0,0.05,0.05,0.0,0.0,0.1,0.7,0.0,0.0
Spin the Bottle,0.05,0.0,0.0,0.0,0.0,0.1,0.05,0.15,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Potter and the Chamber of Secrets,0.6,0.95,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.7,0.15,0.9,0.98,1.0,0.0,0.0,0.2,0.25,0.05,0.75,0.0,0.05,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.15
Storks,0.1,0.4,0.95,0.15,0.0,0.7,0.0,0.6,0.0,0.3,0.05,0.85,0.5,1.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.2,0.3,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
I Don't Feel at Home in This World Anymore,0.01,0.01,0.0,0.25,0.5,0.05,0.05,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.05
