movie,action,adventure,animation,art,biography,comedy,crime,dark_comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark comedy,historical drama,romantic comedy,science fiction
Upgraded,0.95,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Boneyard,0.2,0.05,0.0,0.1,0.0,0.05,0.15,0.05,0.0,0.4,0.0,0.0,0.0,0.95,0.1,0.1,0.05,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Amsterdam,0.2,0.1,0.0,0.15,0.3,0.4,0.55,0.0,0.0,0.7,0.05,0.0,0.0,1.0,0.6,0.0,0.0,0.05,0.0,0.6,0.1,0.05,0.0,0.0,0.0,0.5,0.1,0.0,0.45,0.65,0.0,0.0
Super Mario Bros.,0.7,0.85,0.95,0.2,0.0,0.6,0.0,0.0,0.0,0.3,0.1,0.9,0.8,1.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.1,0.7
Shark Warning,0.6,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
The Angry Birds Movie,0.2,0.4,0.95,0.1,0.0,0.7,0.0,0.0,0.0,0.15,0.0,0.8,0.3,0.9,0.0,0.0,0.0,0.1,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.25,0.0,0.0,0.2
Fresh,0.05,0.01,0.0,0.1,0.0,0.3,0.25,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.15,0.05,0.0,0.5,0.05,0.2,0.0,0.0,0.0,0.7,0.0,0.0,0.4,0.0,0.1,0.0
Arena Wars,0.8,0.65,0.0,0.05,0.0,0.1,0.15,0.05,0.0,0.2,0.1,0.15,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Pirates of the Caribbean: The Curse of the Black Pearl,0.95,0.98,0.0,0.15,0.05,0.7,0.1,0.65,0.0,0.3,0.8,0.9,0.95,1.0,0.2,0.25,0.1,0.4,0.1,0.6,0.05,0.15,0.1,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Martha Marcy May Marlene,0.0,0.0,0.0,0.75,0.2,0.05,0.1,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.05,0.15,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
