movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,dark_comedy,historical_drama,romantic_comedy,science_fiction
Richard Jewell,0.0,0.0,0.0,0.05,0.95,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.7,0.9,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Molly's Game,0.1,0.05,0.0,0.05,0.95,0.1,0.9,0.15,0.0,0.9,0.0,0.0,0.0,0.95,0.7,0.9,0.0,0.05,0.0,0.7,0.1,0.05,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Sling Blade,0.1,0.05,0.0,0.75,0.2,0.6,0.15,0.8,0.0,0.95,0.0,0.05,0.0,1.0,0.0,0.0,0.05,0.1,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Journey 2: The Mysterious Island,0.7,0.95,0.0,0.05,0.0,0.6,0.0,0.0,0.0,0.2,0.4,0.9,0.8,1.0,0.1,0.0,0.0,0.05,0.0,0.65,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.75
Ghost Rider: Spirit of Vengeance,0.95,0.7,0.0,0.05,0.0,0.1,0.15,0.05,0.0,0.6,0.2,0.1,0.8,1.0,0.0,0.0,0.75,0.15,0.0,0.2,0.0,0.0,0.0,0.65,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Jason X,0.95,0.2,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.15,0.05,0.0,0.1,1.0,0.0,0.0,0.8,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.9
Cocaine Bear,0.2,0.05,0.0,0.05,0.0,0.6,0.3,0.7,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
The Wife,0.05,0.01,0.0,0.1,0.25,0.02,0.01,0.01,0.0,0.95,0.01,0.01,0.0,1.0,0.15,0.2,0.0,0.05,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Mad Max: Fury Road,0.99,0.98,0.0,0.15,0.01,0.05,0.1,0.0,0.0,0.8,0.9,0.05,0.1,0.99,0.05,0.1,0.2,0.25,0.0,0.1,0.05,0.02,0.0,0.95,0.0,0.9,0.15,0.9,0.0,0.0,0.0,0.0
The People Under the Stairs,0.2,0.05,0.0,0.15,0.0,0.3,0.1,0.4,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.05,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Batman: The Killing Joke,0.85,0.7,1.0,0.9,0.8,0.2,0.95,0.0,0.0,0.9,0.1,0.05,0.0,1.0,0.0,0.0,0.6,0.15,0.0,0.85,0.3,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.4,0.0,0.0,0.0
Finding Neverland,0.1,0.2,0.0,0.4,0.9,0.6,0.0,0.2,0.0,0.9,0.1,0.7,0.6,1.0,0.7,0.8,0.0,0.2,0.1,0.0,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beautiful Creatures,0.1,0.25,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.6,0.05,0.2,0.7,0.95,0.0,0.0,0.05,0.1,0.0,0.15,0.0,0.55,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.05,0.0
Bedknobs and Broomsticks,0.2,0.65,0.0,0.1,0.0,0.7,0.0,0.15,0.0,0.3,0.05,0.95,0.85,1.0,0.05,0.0,0.0,0.5,0.8,0.1,0.0,0.25,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.15,0.0
Wicked: Part I,0.05,0.1,0.0,0.15,0.2,0.25,0.0,0.05,0.0,0.6,0.05,0.4,0.7,0.95,0.25,0.2,0.0,0.85,0.9,0.05,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Freud's Last Session,0.01,0.0,0.0,0.1,0.95,0.05,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0
The Black Hole,0.7,0.85,0.6,0.55,0.0,0.0,0.0,0.0,0.0,0.7,0.65,0.75,0.8,1.0,0.0,0.0,0.1,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.95
23 Paces to Baker Street,0.1,0.05,0.0,0.15,0.2,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.7,0.6,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
After Ever Happy,0.05,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.75,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
